Date,CHINA A ONSHORE VALUE WEIGHTED
2010-10-01,765.0839485941772
2010-10-04,765.0839485941772
2010-10-05,765.0839485941772
2010-10-06,765.0839485941772
2010-10-07,765.0839485941772
2010-10-08,791.9510609213715
2010-10-11,815.463347937039
2010-10-12,823.0059543916493
2010-10-13,836.3527668668481
2010-10-14,835.9470741537303
2010-10-15,862.899526394316
2010-10-18,862.2104013140407
2010-10-19,877.30720575598
2010-10-20,875.7917205758466
2010-10-21,870.6536430288602
2010-10-22,869.9970641279097
2010-10-25,893.7399113055029
2010-10-26,890.7550273173254
2010-10-27,875.4712000997833
2010-10-28,874.2992069874723
2010-10-29,871.7000758130073
2010-11-01,890.8876921240305
2010-11-02,890.8089168796024
2010-11-03,882.1010252863172
2010-11-04,898.863821170186
2010-11-05,910.3149220968572
2010-11-08,918.1945614753207
2010-11-09,915.4491759245243
2010-11-10,907.6952086613314
2010-11-11,911.8380627926526
2010-11-12,854.7445476573954
2010-11-15,861.3959505652265
2010-11-16,826.8380956219356
2010-11-17,809.5126401597691
2010-11-18,820.382794228451
2010-11-19,828.2709446866687
2010-11-22,826.7526117195971
2010-11-23,809.1050982912072
2010-11-24,824.5568605134843
2010-11-25,837.7773741272308
2010-11-26,826.8780242247166
2010-11-29,826.7265997459564
2010-11-30,811.5552415341024
2010-12-01,813.0330209855438
2010-12-02,818.1045930687429
2010-12-03,818.7805741708002
2010-12-06,822.5175107127399
2010-12-07,829.2455399973834
2010-12-08,819.702151615274
2010-12-09,809.4285655136994
2010-12-10,818.380724244811
2010-12-13,840.8594074595809
2010-12-14,844.6765328501621
2010-12-15,839.214058732355
2010-12-16,833.8202462732429
2010-12-17,834.0317502751906
2010-12-20,819.5240923012328
2010-12-21,840.9899416152019
2010-12-22,833.8336737871057
2010-12-23,828.2507675475724
2010-12-24,826.2046608841084
2010-12-27,808.6751756923979
2010-12-28,793.898094989097
2010-12-29,798.6250703975563
2010-12-30,799.9302559191688
2010-12-31,814.9085166393238
2011-01-03,814.9085166393238
2011-01-04,828.771927349684
2011-01-05,825.8338790003174
2011-01-06,821.9445143892287
2011-01-07,827.9669203865029
2011-01-10,811.8528047978023
2011-01-11,820.9472521131585
2011-01-12,829.4404142706726
2011-01-13,827.4988215816685
2011-01-14,817.6771954722611
2011-01-17,786.7427405727863
2011-01-18,788.6668046963546
2011-01-19,804.2923320910621
2011-01-20,779.7265980734916
2011-01-21,793.4873645708878
2011-01-24,788.9563404676387
2011-01-25,786.5033119517045
2011-01-26,796.416660821547
2011-01-27,805.9982467316698
2011-01-28,806.1968984090179
2011-01-31,812.878947721311
2011-02-01,813.4916466852078
2011-02-02,813.4916466852078
2011-02-03,813.4916466852078
2011-02-04,813.4916466852078
2011-02-07,813.4916466852078
2011-02-08,813.4916466852078
2011-02-09,805.4531500052234
2011-02-10,821.4952865763872
2011-02-11,825.3705765423275
2011-02-14,848.9719470182374
2011-02-15,848.3273927670425
2011-02-16,855.8242399050846
2011-02-17,856.0904054776927
2011-02-18,850.3126269974684
2011-02-21,861.7004574115883
2011-02-22,834.6562059883522
2011-02-23,838.0842226718139
2011-02-24,842.0657335742571
2011-02-25,844.2193262243775
2011-02-28,855.0049581077942
2011-03-01,859.5453267506144
2011-03-02,857.2624291862338
2011-03-03,854.8082321554383
2011-03-04,868.7326535330176
2011-03-07,883.8932677884515
2011-03-08,884.5646313435377
2011-03-09,884.269911509718
2011-03-10,868.4804997603021
2011-03-11,860.7640508043575
2011-03-14,866.0458687153614
2011-03-15,852.2297343023351
2011-03-16,863.5437416496359
2011-03-17,849.3426090342963
2011-03-18,853.9039598219988
2011-03-21,853.2391968107769
2011-03-22,858.7725484135127
2011-03-23,869.005795355689
2011-03-24,865.5395235874805
2011-03-25,877.4950427227808
2011-03-28,878.077957652965
2011-03-29,873.6392018662742
2011-03-30,872.6655081055693
2011-03-31,863.4829808100291
2011-04-01,878.214428403892
2011-04-04,878.214428403892
2011-04-05,878.214428403892
2011-04-06,890.4782885348272
2011-04-07,894.1943404321634
2011-04-08,901.8497080917839
2011-04-11,897.4632299865465
2011-04-12,899.2327497169058
2011-04-13,911.890151391489
2011-04-14,908.5798404086876
2011-04-15,911.6034025973212
2011-04-18,914.2258514203437
2011-04-19,897.9956022387798
2011-04-20,896.8812038146488
2011-04-21,904.7974623408895
2011-04-22,899.3527945060405
2011-04-25,885.3857751569581
2011-04-26,878.8342178781539
2011-04-27,875.837561304779
2011-04-28,864.0117018599659
2011-04-29,872.6266844623303
2011-05-02,872.6266844623303
2011-05-03,878.469137896552
2011-05-04,858.3885091133931
2011-05-05,859.2205443752349
2011-05-06,856.9945434726769
2011-05-09,858.9789252102386
2011-05-10,865.6774495312433
2011-05-11,862.8630081010037
2011-05-12,850.1785960225249
2011-05-13,857.7891431937521
2011-05-16,849.2389985898933
2011-05-17,852.7593365966461
2011-05-18,859.6475943146004
2011-05-19,854.0799717425062
2011-05-20,855.3169299995866
2011-05-23,826.319094119297
2011-05-24,827.3943557495097
2011-05-25,817.3265062067045
2011-05-26,814.3125038031855
2011-05-27,808.9879995709379
2011-05-30,806.8943158786648
2011-05-31,820.4125463001392
2011-06-01,820.11124435048
2011-06-02,804.5887248136759
2011-06-03,813.2140283751706
2011-06-06,813.2140283751706
2011-06-07,817.6091415060492
2011-06-08,818.9071503812715
2011-06-09,804.061496118713
2011-06-10,806.8701822346546
2011-06-13,805.1417433510883
2011-06-14,816.9924743484432
