Date,PAKISTAN SMALL CAP
2015-11-27,2821.843579953427
2015-11-30,2750.4864989703788
2015-12-01,2688.725396826015
2015-12-02,2757.1663758318273
2015-12-03,2774.171397745215
2015-12-04,2802.2377922875926
2015-12-07,2843.621620587691
2015-12-08,2882.3845928657947
2015-12-09,2914.512858686067
2015-12-10,2928.9394745316854
2015-12-11,2899.495832744096
2015-12-14,2851.925949791369
2015-12-15,2831.240499770763
2015-12-16,2842.441445168036
2015-12-17,2872.4222570964534
2015-12-18,2860.677368556332
2015-12-21,2859.750899620207
2015-12-22,2848.653418825903
2015-12-23,2834.2672487759733
2015-12-24,2834.267248775973
2015-12-25,2834.2672487759723
2015-12-28,2850.5767368504808
2015-12-29,2834.44304958356
2015-12-30,2826.3902474508927
2015-12-31,2841.3120326109756
2016-01-01,2888.3446897054314
2016-01-04,2871.9944979127304
2016-01-05,2896.136691304798
2016-01-06,2925.13803739343
2016-01-07,2925.863888997355
2016-01-08,2919.9339381506747
2016-01-11,2913.4561883102215
2016-01-12,2894.2575545569116
2016-01-13,2883.8608623636173
2016-01-14,2812.8959276451346
2016-01-15,2782.77174835125
2016-01-18,2765.041114175501
2016-01-19,2811.1186880950654
2016-01-20,2789.1573624288285
2016-01-21,2775.285615205216
2016-01-22,2801.635290085993
2016-01-25,2794.3804616676175
2016-01-26,2797.9129640667134
2016-01-27,2802.3294124890563
2016-01-28,2803.642530270081
2016-01-29,2800.0529363542387
2016-02-01,2848.658848772975
2016-02-02,2867.12510527143
2016-02-03,2882.25377485771
2016-02-04,2927.0220097596707
2016-02-05,2927.0220097596707
2016-02-08,2947.9485705053858
2016-02-09,2903.6894123989387
2016-02-10,2875.455626162385
2016-02-11,2840.1185136528343
2016-02-12,2806.2906528427516
2016-02-15,2824.9025176287523
2016-02-16,2796.2814055918925
2016-02-17,2788.864226833081
2016-02-18,2754.514934939231
2016-02-19,2739.063656747522
2016-02-22,2679.3793200432224
2016-02-23,2660.7240984889113
2016-02-24,2713.3873078842134
2016-02-25,2729.4267184134014
2016-02-26,2758.4643262174786
2016-02-29,2751.9451135577306
2016-03-01,2756.687088185934
2016-03-02,2787.9278059651992
2016-03-03,2808.71299209289
2016-03-04,2831.81593508192
2016-03-07,2871.4488874797103
2016-03-08,2861.939760087543
2016-03-09,2858.689024244031
2016-03-10,2832.6698353914267
2016-03-11,2823.7004184008597
2016-03-14,2852.6777398493527
2016-03-15,2847.2343166108294
2016-03-16,2866.9183769097085
2016-03-17,2869.518476303027
2016-03-18,2877.2369286147664
2016-03-21,2867.1510979954887
2016-03-22,2844.0805836383097
2016-03-23,2844.0805836383097
2016-03-24,2835.459708232516
2016-03-25,2840.973365353235
2016-03-28,2841.927279167833
2016-03-29,2844.782324254089
2016-03-30,2857.440384421495
2016-03-31,2879.7471838892857
2016-04-01,2910.9895783614097
2016-04-04,2950.2027256966867
2016-04-05,2956.762434904228
2016-04-06,2961.720908485247
2016-04-07,2967.3975141154765
2016-04-08,2965.835351360844
2016-04-11,2913.145628204219
2016-04-12,2920.515911355994
2016-04-13,2921.031141677603
2016-04-14,2938.5643768374857
2016-04-15,2944.5722272657854
2016-04-18,2945.3115762346442
2016-04-19,2940.1592851117807
2016-04-20,2937.8114683069634
2016-04-21,2930.175981005245
2016-04-22,2929.6944727749355
2016-04-25,2925.46824919333
2016-04-26,2942.8979677231023
2016-04-27,2964.652490820056
2016-04-28,2980.7297718496843
2016-04-29,2982.21483476461
2016-05-02,2972.953925051494
2016-05-03,2990.827900351798
2016-05-04,3022.1235954590575
2016-05-05,3064.6039148140553
2016-05-06,3054.275838067385
2016-05-09,3067.38358172687
2016-05-10,3073.7654413763908
2016-05-11,3064.267349487251
2016-05-12,3041.281671250683
2016-05-13,3042.736449530782
2016-05-16,3038.0275755589532
2016-05-17,3038.6071579523013
2016-05-18,3054.906296815446
2016-05-19,3070.324782921407
2016-05-20,3070.16348972112
2016-05-23,3084.0201790162237
2016-05-24,3078.600536891643
2016-05-25,3071.9944982829265
2016-05-26,3071.0085401452925
2016-05-27,3068.958407713881
2016-05-30,3028.317035582897
2016-05-31,2994.93758136365
2016-06-01,3015.500024463512
2016-06-02,3023.1135616483593
2016-06-03,3055.7900327329353
2016-06-06,3064.954530724993
2016-06-07,3078.120687825048
2016-06-08,3098.191116842782
2016-06-09,3096.4179335467024
2016-06-10,3049.1759061155312
2016-06-13,3043.472247707388
2016-06-14,3062.2250418720832
2016-06-15,3153.077319287872
2016-06-16,3181.766851898248
2016-06-17,3163.709113620228
2016-06-20,3146.645886157124
2016-06-21,3158.9303416340495
2016-06-22,3135.3423214821064
2016-06-23,3140.1487388754067
2016-06-24,3065.1415015525217
2016-06-27,3057.9614108884402
2016-06-28,3057.9639554166984
2016-06-29,3126.5491417312433
2016-06-30,3119.491658771049
2016-07-01,3119.491658771049
2016-07-04,3152.8172185278586
2016-07-05,3152.8172185278586
2016-07-06,3152.8172185278586
2016-07-07,3152.8172185278586
2016-07-08,3152.8172185278586
2016-07-11,3205.923967249009
2016-07-12,3265.611677055924
2016-07-13,3272.023351505293
2016-07-14,3296.114152020293
2016-07-15,3287.3055990976204
2016-07-18,3309.926548430831
2016-07-19,3305.3468403706765
2016-07-20,3307.5453487108553
2016-07-21,3318.637601191532
2016-07-22,3308.2949372394505
2016-07-25,3298.347237942284
2016-07-26,3324.753210551964
2016-07-27,3315.144890505298
2016-07-28,3303.1348470487064
2016-07-29,3318.4833130040406
2016-08-01,3360.6196031482255
2016-08-02,3376.739936824209
2016-08-03,3372.286050887702
2016-08-04,3346.082955474906
2016-08-05,3337.4658259361236
2016-08-08,3331.562083793508
2016-08-09,3343.817916739739
2016-08-10,3351.502233879724
2016-08-11,3359.1611608596886
2016-08-12,3361.135129301023
2016-08-15,3369.3276064222646
2016-08-16,3372.1222457806666
2016-08-17,3383.3633955590844
2016-08-18,3362.950393690976
2016-08-19,3338.671013002829
2016-08-22,3339.6810571844503
2016-08-23,3329.3692440197206
2016-08-24,3339.859176648628
2016-08-25,3355.4851290066067
2016-08-26,3359.178725428773
2016-08-29,3368.9145774841863
2016-08-30,3367.911732574776
2016-08-31,3355.1687690422605
2016-09-01,3360.4055637112633
2016-09-02,3325.81012856631
2016-09-05,3284.517673857483
2016-09-06,3297.22717297149
2016-09-07,3329.6782060743653
