Date,CHINA A QUALITY
2018-11-01,2833.1848938668745
2018-11-02,3008.664669602664
2018-11-05,2954.828509816546
2018-11-06,2918.0592771560105
2018-11-07,2891.9539572608774
2018-11-08,2889.5350982512487
2018-11-09,2875.411412781452
2018-11-12,2931.9143399174013
2018-11-13,2976.4272391896307
2018-11-14,2933.0360562810934
2018-11-15,2958.1215608682537
2018-11-16,2953.627695360996
2018-11-19,2966.508692815074
2018-11-20,2893.2947962581125
2018-11-21,2922.8362920372883
2018-11-22,2919.9773355056145
2018-11-23,2871.2283064150593
2018-11-26,2865.0638077289905
2018-11-27,2859.9211410667463
2018-11-28,2915.1504405099995
2018-11-29,2862.6497842187714
2018-11-30,2913.4347559024704
2018-12-03,3049.6003364928515
2018-12-04,3059.815344330759
2018-12-05,3056.754088057088
2018-12-06,2944.753646685716
2018-12-07,2930.488454208659
2018-12-10,2884.681041957188
2018-12-11,2931.4797813434193
2018-12-12,2949.020324695311
2018-12-13,3019.1321084899837
2018-12-14,2979.539057429842
2018-12-17,2952.292306350248
2018-12-18,2914.0626640210703
2018-12-19,2857.305675746299
2018-12-20,2843.1054570558103
2018-12-21,2792.006237009959
2018-12-24,2823.159684341595
2018-12-25,2812.2610531439273
2018-12-26,2805.1970915450265
2018-12-27,2794.532757691096
2018-12-28,2806.000093489125
2018-12-31,2812.476310760895
2019-01-01,2812.476310760895
2019-01-02,2787.2788797978938
2019-01-03,2726.2126988000714
2019-01-04,2786.8874181999686
2019-01-07,2814.392509048516
2019-01-08,2815.604923953964
2019-01-09,2865.9845054917446
2019-01-10,2877.324800880253
2019-01-11,2921.1865515570535
2019-01-14,2880.7350573691538
2019-01-15,2988.5566786882946
2019-01-16,3007.2510757843265
2019-01-17,2982.1085715561576
2019-01-18,3044.9418616407224
2019-01-21,3065.1734259810037
2019-01-22,3009.8644604775773
2019-01-23,3014.854782573408
2019-01-24,3037.151960365889
2019-01-25,3068.0012390174275
2019-01-28,3051.637765903432
2019-01-29,3078.6326472164874
2019-01-30,3051.969349927221
2019-01-31,3082.612847202491
2019-02-01,3126.501774300128
2019-02-04,3125.5734602733773
2019-02-05,3137.1213429489076
2019-02-06,3141.1850547371973
2019-02-07,3145.1335873861235
2019-02-08,3150.885527657999
2019-02-11,3253.1042736863224
2019-02-12,3280.83745007154
2019-02-13,3343.3481077832494
2019-02-14,3370.3659997632594
2019-02-15,3291.738418225507
2019-02-18,3400.3305632374295
2019-02-19,3380.116745880029
2019-02-20,3397.4156113266063
2019-02-21,3387.7666128510637
2019-02-22,3434.1935772842917
2019-02-25,3588.922521161729
2019-02-26,3524.9248037320845
2019-02-27,3510.049481858342
2019-02-28,3531.149033290955
2019-03-01,3588.1839862946226
2019-03-04,3662.986878255823
2019-03-05,3679.880162657454
2019-03-06,3664.728516472557
2019-03-07,3615.302912493899
2019-03-08,3521.1536039566813
2019-03-11,3624.5422964239224
2019-03-12,3642.1815536008235
2019-03-13,3596.766053809591
2019-03-14,3585.8209210044415
2019-03-15,3652.607274834359
2019-03-18,3793.383774381313
2019-03-19,3759.6834811375234
2019-03-20,3759.7508816115633
2019-03-21,3747.321218744196
2019-03-22,3766.9432667907654
2019-03-25,3668.0229228913263
2019-03-26,3662.9260699409047
2019-03-27,3744.282549366862
2019-03-28,3756.7486419710767
2019-03-29,3910.712443268624
2019-04-01,4018.851183190052
2019-04-02,3992.5064874138234
2019-04-03,4000.3217302746775
2019-04-04,4057.6638820847593
2019-04-05,4056.612625862202
2019-04-08,4032.815219403527
2019-04-09,4104.085895854715
2019-04-10,4153.542881979659
2019-04-11,4013.459670572802
2019-04-12,3981.7613632754988
2019-04-15,3961.576834053368
2019-04-16,4041.324365561234
2019-04-17,4081.0084069760164
