Date,EAFE ex JAPAN VALUE WEIGHTED
1999-04-28,2291.3496700412447
1999-04-29,2277.7194965033536
1999-04-30,2291.716440061148
1999-05-03,2300.045556153783
1999-05-04,2314.829769104289
1999-05-05,2298.2975881528587
1999-05-06,2313.045744506703
1999-05-07,2294.5396524618145
1999-05-10,2294.058864474736
1999-05-11,2283.7663180882314
1999-05-12,2267.0628855505847
1999-05-13,2275.2373128165373
1999-05-14,2251.0448488950724
1999-05-17,2207.5360313900032
1999-05-18,2220.5038668787
1999-05-19,2234.6968649409746
1999-05-20,2243.4556801106
1999-05-21,2227.700386316815
1999-05-24,2225.3039624421117
1999-05-25,2206.568614656411
1999-05-26,2189.381095436587
1999-05-27,2168.1726769363104
1999-05-28,2170.807918651349
1999-05-31,2174.6779119318794
1999-06-01,2182.9329870912948
1999-06-02,2182.702980751186
1999-06-03,2197.723950794984
1999-06-04,2203.4737109694893
1999-06-07,2222.9864938967626
1999-06-08,2242.4374500135837
1999-06-09,2249.128735766046
1999-06-10,2240.125458323725
1999-06-11,2262.9923234345083
1999-06-14,2244.8060192655535
1999-06-15,2243.1403741977315
1999-06-16,2246.3823086009747
1999-06-17,2255.2246890325246
1999-06-18,2272.6333616260886
1999-06-21,2287.0578374390498
1999-06-22,2277.293431970087
1999-06-23,2258.2831777935444
1999-06-24,2245.7552897100445
1999-06-25,2258.313463331326
1999-06-28,2247.0864336634804
1999-06-29,2240.198393018052
1999-06-30,2231.4470904209975
1999-07-01,2259.584270778789
1999-07-02,2270.714079922238
1999-07-05,2306.4514444068786
1999-07-06,2305.7141455334995
1999-07-07,2287.628990437512
1999-07-08,2278.9604910048033
1999-07-09,2284.618509406503
1999-07-12,2276.493040228897
1999-07-13,2252.6249745544214
1999-07-14,2262.6474956940738
1999-07-15,2291.589684103058
1999-07-16,2276.22176566905
1999-07-19,2261.753912755578
1999-07-20,2269.2472546327413
1999-07-21,2259.1573665372907
1999-07-22,2244.039899699921
1999-07-23,2214.4864394291862
1999-07-26,2220.8564928784467
1999-07-27,2232.132494291686
1999-07-28,2237.431722464406
1999-07-29,2221.0152008947935
1999-07-30,2251.3565904003026
1999-08-02,2247.4203376564637
1999-08-03,2246.2857166962544
1999-08-04,2261.9565650457835
1999-08-05,2227.6166456145415
1999-08-06,2225.718540050769
1999-08-09,2226.0904645661153
1999-08-10,2197.725120308039
1999-08-11,2195.791104140772
1999-08-12,2232.826075690067
1999-08-13,2247.9148433080254
1999-08-16,2258.581708648337
1999-08-17,2244.3285554096783
1999-08-18,2255.4420999760086
1999-08-19,2254.8372291388246
1999-08-20,2279.446706541917
1999-08-23,2295.470100139719
1999-08-24,2285.4312414181086
1999-08-25,2289.861577574047
1999-08-26,2287.5388376054384
1999-08-27,2291.2046970229067
1999-08-30,2287.4140477370015
1999-08-31,2268.002169000309
1999-09-01,2288.614351508449
1999-09-02,2278.826369776888
1999-09-03,2299.887147550135
1999-09-06,2313.0955587138596
1999-09-07,2308.1033167953788
1999-09-08,2306.686414557811
1999-09-09,2323.1929112756957
1999-09-10,2309.279222415555
1999-09-13,2281.0996105362956
1999-09-14,2271.300099416967
1999-09-15,2250.6917834723586
1999-09-16,2239.422734916788
1999-09-17,2242.6155305287534
1999-09-20,2249.5045966159923
1999-09-21,2233.9652527269827
1999-09-22,2224.269222198999
1999-09-23,2225.3297101807784
1999-09-24,2204.977765797225
1999-09-27,2227.9131448885296
1999-09-28,2215.384823341342
1999-09-29,2218.8011437992427
1999-09-30,2227.7113960948836
1999-10-01,2230.4088095156676
1999-10-04,2255.2456885365214
1999-10-05,2265.3706201126924
