Date,WORLD ex AUSTRALIA WITH USA GROSS
2013-05-07,2041.5296067568243
2013-05-08,2058.020690120061
2013-05-09,2047.7492592745584
2013-05-10,2049.4104001357064
2013-05-13,2051.993012880242
2013-05-14,2064.8728055138017
2013-05-15,2073.2174071062864
2013-05-16,2069.909012598423
2013-05-17,2077.985069141239
2013-05-20,2085.1698620027423
2013-05-21,2089.131809534279
2013-05-22,2079.5175740571904
2013-05-23,2053.2692995338357
2013-05-24,2053.9013697200376
2013-05-27,2050.0215735004444
2013-05-28,2060.8031171913726
2013-05-29,2050.201776068432
2013-05-30,2053.977896728018
2013-05-31,2026.63969596003
2013-06-03,2027.4571394928741
2013-06-04,2028.8790275268611
2013-06-05,1999.2429939121687
2013-06-06,2005.8074679484591
2013-06-07,2028.6787759204587
2013-06-10,2033.219020559585
2013-06-11,2019.391488049364
2013-06-12,2011.603534310103
2013-06-13,2020.899904080314
2013-06-14,2018.7047841453752
2013-06-17,2037.254740586185
2013-06-18,2046.9128805115108
2013-06-19,2034.2270244230483
2013-06-20,1965.739249224096
2013-06-21,1962.0221035705124
2013-06-24,1933.850639359274
2013-06-25,1950.785763762897
2013-06-26,1968.2906669980475
2013-06-27,1982.6485935241735
2013-06-28,1980.1277186933569
2013-07-01,1996.552483639217
2013-07-02,1996.2356398830314
2013-07-03,1992.227707999386
2013-07-04,2001.7316999480563
2013-07-05,2003.132865777533
2013-07-08,2015.6072345175028
2013-07-09,2030.040690443745
2013-07-10,2036.5587921017413
2013-07-11,2069.407564548851
2013-07-12,2072.3238536729787
2013-07-15,2075.762559452475
2013-07-16,2073.9844534543276
2013-07-17,2078.414518544644
2013-07-18,2089.8619183641827
2013-07-19,2093.424215047299
2013-07-22,2102.871642027006
2013-07-23,2101.449235000458
2013-07-24,2099.541343731354
2013-07-25,2098.5941846870387
2013-07-26,2095.980590370165
2013-07-29,2085.7116291559532
2013-07-30,2089.035490233308
2013-07-31,2086.4952936543464
2013-08-01,2111.2032620537407
2013-08-02,2123.3578063428154
2013-08-05,2118.8252429073873
2013-08-06,2114.9312093695585
2013-08-07,2104.5139262608104
2013-08-08,2115.2215346179887
2013-08-09,2113.6178351406634
2013-08-12,2109.095545534192
2013-08-13,2113.904098177484
2013-08-14,2114.0403743574307
2013-08-15,2087.77723189179
2013-08-16,2088.5235025933657
2013-08-19,2078.387503438752
2013-08-20,2078.374536212268
2013-08-21,2063.2967376912725
2013-08-22,2075.2837930620294
2013-08-23,2090.079771545118
2013-08-26,2083.959088748138
2013-08-27,2055.86294347042
2013-08-28,2050.862060684381
2013-08-29,2052.6054539855395
2013-08-30,2040.3219147502468
2013-09-02,2051.152379898369
2013-09-03,2057.474676144899
2013-09-04,2072.130284022759
2013-09-05,2074.75485014481
2013-09-06,2081.2180568744034
2013-09-09,2099.948140494976
2013-09-10,2117.9802908022043
2013-09-11,2127.080098408692
2013-09-12,2123.650009888927
2013-09-13,2125.3762956014216
2013-09-16,2142.5987390356954
2013-09-17,2143.437242183016
2013-09-18,2164.1784791528016
2013-09-19,2179.300160479489
2013-09-20,2166.047497753664
2013-09-23,2158.29254639133
2013-09-24,2155.892394181692
2013-09-25,2153.0091332934894
2013-09-26,2158.670302503604
2013-09-27,2156.529754436245
2013-09-30,2141.361857385514
2013-10-01,2155.4886887545886
2013-10-02,2152.1889804031684
2013-10-03,2139.9838396547348
2013-10-04,2146.623067145844
2013-10-07,2131.5178117420596
2013-10-08,2112.7256919241877
2013-10-09,2108.1976223335787
2013-10-10,2145.924820584541
2013-10-11,2161.1031763937062
2013-10-14,2169.040060665225
2013-10-15,2161.351704312842
2013-10-16,2178.8255435291117
2013-10-17,2201.1298273211255
2013-10-18,2216.893093937275
2013-10-21,2218.7111759026943
