Date,USA IMI HIGH DIVIDEND YIELD
2001-06-08,1487.0135895605567
2001-06-11,1495.095279257732
2001-06-12,1482.4716392567318
2001-06-13,1473.498442771402
2001-06-14,1443.308589924491
2001-06-15,1432.7854053196477
2001-06-18,1432.0880268458106
2001-06-19,1440.4823878891914
2001-06-20,1459.4199159467887
2001-06-21,1469.3127266004572
2001-06-22,1453.4198126005963
2001-06-25,1429.3261483089652
2001-06-26,1429.9950620315794
2001-06-27,1427.162232018265
2001-06-28,1456.0170253775038
2001-06-29,1460.84527912504
2001-07-02,1472.6369141738041
2001-07-03,1471.585599219826
2001-07-04,1473.23857742764
2001-07-05,1485.1986277473168
2001-07-06,1452.4958431034124
2001-07-09,1449.9983485925015
2001-07-10,1429.413302827445
2001-07-11,1422.4481741460154
2001-07-12,1448.5536205969356
2001-07-13,1455.7683011461843
2001-07-16,1444.5218134656025
2001-07-17,1464.3691555290186
2001-07-18,1438.3842343409665
2001-07-19,1444.1414830654385
2001-07-20,1430.580338044223
2001-07-23,1421.7455397179444
2001-07-24,1389.7171630099904
2001-07-25,1407.5183104269631
2001-07-26,1420.8584058037857
2001-07-27,1426.4165398459606
2001-07-30,1428.4273040716555
2001-07-31,1437.2381892336905
2001-08-01,1431.483832300763
2001-08-02,1426.9311161375504
2001-08-03,1414.7854743733824
2001-08-06,1411.1589220102858
2001-08-07,1426.3893123451935
2001-08-08,1414.319046677967
2001-08-09,1396.7278387215242
2001-08-10,1399.8680453042523
2001-08-13,1395.1574791714563
2001-08-14,1397.3416850951571
2001-08-15,1373.326772914649
2001-08-16,1377.3012798495229
2001-08-17,1356.9382253565489
2001-08-20,1374.6992546517695
2001-08-21,1368.0515947722083
2001-08-22,1360.9753459256783
2001-08-23,1369.956205462053
2001-08-24,1376.1586903541438
2001-08-27,1371.3304465331646
2001-08-28,1359.3405774381872
2001-08-29,1348.1219629258208
2001-08-30,1343.212713494953
2001-08-31,1344.3545048583119
2001-09-03,1347.246706187166
2001-09-04,1381.9445623878155
2001-09-05,1388.8412355743803
2001-09-06,1365.105197706048
2001-09-07,1326.9956698364201
2001-09-10,1341.5565192620118
2001-09-11,1329.6664449207549
2001-09-12,1332.3100645693303
2001-09-13,1328.425296326669
2001-09-14,1310.6764030561737
2001-09-17,1272.5875561690957
2001-09-18,1271.8842029242348
2001-09-19,1245.455526775809
2001-09-20,1215.9381366232112
2001-09-21,1199.2369065394744
2001-09-24,1227.6450350192263
2001-09-25,1230.655807515523
2001-09-26,1231.3437006427853
2001-09-27,1258.7629042676942
2001-09-28,1295.4518511992026
2001-10-01,1285.7350108770866
2001-10-02,1301.1666945506186
2001-10-03,1299.4547512024835
2001-10-04,1303.0353620519575
2001-10-05,1294.144451502242
2001-10-08,1282.8043561052689
2001-10-09,1283.6850829378682
2001-10-10,1315.6712143962875
2001-10-11,1327.9068713442432
2001-10-12,1310.4285040790544
2001-10-15,1308.3854682490683
2001-10-16,1312.3582616497902
2001-10-17,1300.6337694047968
2001-10-18,1289.1961959744744
2001-10-19,1299.1343978239317
2001-10-22,1323.345396542099
2001-10-23,1317.8795559734044
2001-10-24,1310.3833200920953
2001-10-25,1314.7441815447419
2001-10-26,1328.4445564134858
2001-10-29,1292.4198608183722
2001-10-30,1270.0496719914925
2001-10-31,1278.0430485182274
2001-11-01,1292.6058936713928
2001-11-02,1297.1015867500075
2001-11-05,1318.3149995629192
2001-11-06,1330.9102154003588
2001-11-07,1322.4163102790692
2001-11-08,1335.1989982671068
2001-11-09,1337.3808917408246
2001-11-12,1330.8626317012552
2001-11-13,1362.2746019504834
2001-11-14,1355.4666260121544
2001-11-15,1358.1812677060523
2001-11-16,1352.716519386027
2001-11-19,1370.2964130146095
2001-11-20,1363.8403090100733
2001-11-21,1368.42120535488
2001-11-22,1363.8294490495884
2001-11-23,1381.4156192057558
2001-11-26,1377.5046736374736
2001-11-27,1362.675884290059
2001-11-28,1341.1675552227316
2001-11-29,1354.1436882566102
2001-11-30,1338.0176417109992
2001-12-03,1344.0847172176886
2001-12-04,1352.2260302609232
2001-12-05,1372.001252485789
2001-12-06,1363.2188915884756
2001-12-07,1362.4348228470603
2001-12-10,1356.6102631726708
2001-12-11,1343.412907100559
2001-12-12,1330.754142272028
2001-12-13,1316.3582828533592
2001-12-14,1312.8441567580232
2001-12-17,1320.7602461597353
2001-12-18,1335.8313866870903
2001-12-19,1351.7670415816333
2001-12-20,1352.0085174510718
2001-12-21,1366.3534783679831
2001-12-24,1384.420394947327
2001-12-25,1384.420394947327
2001-12-26,1389.5106533938174
2001-12-27,1384.7930877107053
2001-12-28,1393.6320853891568
2001-12-31,1370.575067605471
2002-01-01,1370.563842543912
2002-01-02,1353.1302673159585
2002-01-03,1362.8686638070849
2002-01-04,1378.5428817560667
2002-01-07,1376.3003057529734
2002-01-08,1373.4659201619027
2002-01-09,1369.0826551332812
2002-01-10,1365.8457634309602
2002-01-11,1359.778971741104
2002-01-14,1350.300146651156
2002-01-15,1366.3899961587827
2002-01-16,1361.9847023210593
2002-01-17,1373.7057570162265
2002-01-18,1362.2710995712969
2002-01-21,1362.65666254525
2002-01-22,1364.6755692875279
2002-01-23,1373.7449379395457
2002-01-24,1383.2649251206296
2002-01-25,1408.0627103291126
2002-01-28,1415.701294832924
2002-01-29,1384.2776697783404
2002-01-30,1395.6279953517069
2002-01-31,1415.6074421580995
2002-02-01,1410.7676710087087
2002-02-04,1378.0462020593438
2002-02-05,1368.2014573612441
2002-02-06,1358.1554536513513
2002-02-07,1358.0915616555276
2002-02-08,1369.9816248862874
2002-02-11,1376.7761957605944
2002-02-12,1380.1233333348478
2002-02-13,1398.894292647176
2002-02-14,1402.6958753037384
2002-02-15,1397.3453150671046
2002-02-18,1402.1626683805573
2002-02-19,1379.6956004294143
2002-02-20,1401.3956493140188
2002-02-21,1390.1603017478906
2002-02-22,1397.5350904381323
2002-02-25,1423.9827875348506
2002-02-26,1430.0695218188425
2002-02-27,1443.0842384344803
2002-02-28,1441.2559333970153
2002-03-01,1464.5965154112203
2002-03-04,1477.2508077113182
2002-03-05,1464.575968850348
2002-03-06,1478.2297906134474
2002-03-07,1462.313781996808
2002-03-08,1464.7777660130257
2002-03-11,1473.4084813587824
2002-03-12,1484.3408904201883
2002-03-13,1473.718900619076
2002-03-14,1462.009917591194
2002-03-15,1471.2495095601112
2002-03-18,1471.6896200697722
2002-03-19,1474.0892314437565
2002-03-20,1452.7143977328521
2002-03-21,1455.2235727880209
2002-03-22,1455.4314187948141
2002-03-25,1444.7413821475996
2002-03-26,1457.0229260068181
2002-03-27,1471.8385962181337
2002-03-28,1471.0693046452654
2002-03-29,1471.0693046452654
2002-04-01,1454.496469153155
2002-04-02,1453.3449144868246
2002-04-03,1443.6987368555883
2002-04-04,1437.113507783408
2002-04-05,1442.769551551042
2002-04-08,1454.5041502137394
2002-04-09,1446.2776594538307
2002-04-10,1461.7738327066288
2002-04-11,1430.2204942098986
2002-04-12,1440.6923398917975
2002-04-15,1430.7002619710904
2002-04-16,1452.383063967116
2002-04-17,1443.34406816117
2002-04-18,1436.5012930208654
2002-04-19,1440.0937122790376
2002-04-22,1423.4591574002416
2002-04-23,1420.6865732588913
2002-04-24,1410.0704785286596
2002-04-25,1399.700998274229
2002-04-26,1389.7779231693416
2002-04-29,1373.4736066902017
2002-04-30,1389.510462166672
2002-05-01,1395.0354487586776
2002-05-02,1408.7256365011792
2002-05-03,1386.4041873081558
2002-05-06,1361.7371305787117
2002-05-07,1363.14093555512
2002-05-08,1390.667821439857
2002-05-09,1380.0303099791035
2002-05-10,1358.2051517672955
2002-05-13,1382.101225912133
2002-05-14,1417.636669896379
