Date,WORLD ex CANADA IMI
2007-02-19,1529.0550082444724
2007-02-20,1530.794242931557
2007-02-21,1525.438584196758
2007-02-22,1527.464342354178
2007-02-23,1530.2830304182523
2007-02-26,1532.697227504042
2007-02-27,1494.5472268416909
2007-02-28,1482.2755434442886
2007-03-01,1473.7114593332683
2007-03-02,1462.0453535954034
2007-03-05,1438.206516346536
2007-03-06,1459.074334548394
2007-03-07,1462.3365030522414
2007-03-08,1476.0318444226834
2007-03-09,1477.894726712219
2007-03-12,1483.4189669646648
2007-03-13,1462.7446635840913
2007-03-14,1450.2548346939939
2007-03-15,1465.4954678022814
2007-03-16,1463.8579605784828
2007-03-19,1480.0492575535732
2007-03-20,1490.4519175276519
2007-03-21,1505.5733406994616
2007-03-22,1518.4965920713048
2007-03-23,1520.35207793612
2007-03-26,1518.5584434175278
2007-03-27,1512.6937587590676
2007-03-28,1505.2161617246004
2007-03-29,1510.4544625438034
2007-03-30,1509.620472539304
2007-04-02,1513.3228874961364
2007-04-03,1527.0875506756618
2007-04-04,1532.7181353618132
2007-04-05,1537.2080838499367
2007-04-06,1536.8236971073281
2007-04-09,1535.3384192202484
2007-04-10,1544.8062052993864
2007-04-11,1539.328501492031
2007-04-12,1543.7797247520987
2007-04-13,1548.2538037726179
2007-04-16,1565.9370100821166
2007-04-17,1568.2138232306731
2007-04-18,1569.4457516481598
2007-04-19,1563.472268656433
2007-04-20,1576.6645655597795
2007-04-23,1574.0051033090149
2007-04-24,1571.0514114093494
2007-04-25,1582.2566088169042
2007-04-26,1581.3766649925908
2007-04-27,1579.5458860600918
2007-04-30,1573.0732026805535
2007-05-01,1571.3150568782155
2007-05-02,1581.6951929541908
2007-05-03,1585.1985318405293
2007-05-04,1593.257083863328
2007-05-07,1600.4787687249868
2007-05-08,1591.269963229145
2007-05-09,1598.5515161792264
2007-05-10,1580.478293091561
2007-05-11,1589.9556682816624
2007-05-14,1588.7405552480482
2007-05-15,1588.655102236929
2007-05-16,1592.753463110167
2007-05-17,1589.521225208122
2007-05-18,1598.5995616886084
2007-05-21,1600.9295211120327
2007-05-22,1603.658533618905
2007-05-23,1608.822764490073
2007-05-24,1593.2245203873283
2007-05-25,1595.6786267828525
2007-05-28,1597.4492908222883
2007-05-29,1602.8214702730163
2007-05-30,1605.9716178259462
2007-05-31,1614.958214283453
2007-06-01,1623.290663487102
2007-06-04,1627.8446695545397
2007-06-05,1622.2731292531885
2007-06-06,1605.8161267873902
2007-06-07,1582.753963759669
2007-06-08,1583.6641291001247
2007-06-11,1589.0364047307423
2007-06-12,1575.6978225943128
2007-06-13,1586.8177759458304
2007-06-14,1600.311077647061
2007-06-15,1616.2505283503272
2007-06-18,1617.0651530027767
2007-06-19,1617.1490826422043
2007-06-20,1608.8163408760659
2007-06-21,1607.9738087392827
2007-06-22,1596.1416754090571
2007-06-25,1591.5903066447001
2007-06-26,1586.5985219131915
2007-06-27,1587.591504384941
2007-06-28,1596.1174029263823
2007-06-29,1601.1724578442092
2007-07-02,1616.3573870492332
2007-07-03,1624.0417754629918
2007-07-04,1626.9954482819041
2007-07-05,1624.1510301040612
2007-07-06,1630.7653332731795
2007-07-09,1635.2240179190294
2007-07-10,1622.0849247932226
2007-07-11,1624.8499995133125
2007-07-12,1645.209878811193
2007-07-13,1653.3312461976532
2007-07-16,1652.023312647682
2007-07-17,1649.3407593240343
2007-07-18,1640.4759082191838
2007-07-19,1651.6492047435954
2007-07-20,1638.6693400528459
2007-07-23,1642.097512052901
2007-07-24,1618.9771731080257
2007-07-25,1610.7205847892187
2007-07-26,1575.2681560014266
2007-07-27,1551.2213289448985
2007-07-30,1560.7417597896992
2007-07-31,1562.6362117424028
2007-08-01,1553.3585229733058
2007-08-02,1561.287319875193
2007-08-03,1538.0673978261452
2007-08-06,1549.3855839357345
2007-08-07,1559.0540289569924
2007-08-08,1584.736259859085
2007-08-09,1551.5915629317142
2007-08-10,1528.3642480170272
2007-08-13,1536.2454313959097
2007-08-14,1514.688198911197
2007-08-15,1492.195523461518
2007-08-16,1471.8342643142846
2007-08-17,1495.257969267016
2007-08-20,1504.8146123334484
2007-08-21,1510.1467879557988
2007-08-22,1529.210401237258
2007-08-23,1536.6739043034775
2007-08-24,1549.6659863989655
2007-08-27,1545.4402175753114
2007-08-28,1518.1977861832054
2007-08-29,1534.3840394735973
2007-08-30,1537.7042353329841
2007-08-31,1558.8944263994472
2007-09-03,1559.9640390128534
2007-09-04,1570.4018851910807
2007-09-05,1553.3654160146816
2007-09-06,1560.0681122076744
