Date,EM GCC COUNTRIES IMI VALUE
2017-11-07,893.662370431188
2017-11-08,880.2754671988964
2017-11-09,883.3728213814932
2017-11-10,880.5454722291743
2017-11-13,882.4975590482878
2017-11-14,876.8113240023889
2017-11-15,864.6137560800116
2017-11-16,869.7550436960781
2017-11-17,869.0472866473331
2017-11-20,867.3473523200146
2017-11-21,866.4517568045319
2017-11-22,862.966334167957
2017-11-23,857.3918212813186
2017-11-24,850.6233216927671
2017-11-27,846.2742598502346
2017-11-28,847.9510525085528
2017-11-29,848.4472746933255
2017-11-30,840.7258406658933
2017-12-01,844.751460604056
2017-12-04,859.1365504705383
2017-12-05,853.8594586028446
2017-12-06,856.0047635800095
2017-12-07,849.7428160999771
2017-12-08,852.5267244027343
2017-12-11,865.5615998073899
2017-12-12,880.9280840677758
2017-12-13,883.996599685128
2017-12-14,880.6512767917167
2017-12-15,881.3997798530331
2017-12-18,882.1374405065369
2017-12-19,899.9042600881329
2017-12-20,891.1034009382163
2017-12-21,897.0551057282051
2017-12-22,898.9748792560814
2017-12-25,895.0085133276011
2017-12-26,887.057509336193
2017-12-27,890.053973076649
2017-12-28,889.1559801592385
2017-12-29,883.8611670508645
2018-01-01,883.1878231012915
2018-01-02,890.9848653855207
2018-01-03,899.6807020078701
2018-01-04,902.1280162283726
2018-01-05,905.0642220929112
2018-01-08,931.217427207198
2018-01-09,937.9858467973163
2018-01-10,935.8539952380925
2018-01-11,933.7077757759298
2018-01-12,925.9690796362155
2018-01-15,910.2956970758898
2018-01-16,925.7284964600744
2018-01-17,925.2194057310267
2018-01-18,926.2581010190322
2018-01-19,927.4012850583017
2018-01-22,926.1096823116227
2018-01-23,925.9650197269937
2018-01-24,921.6041954899028
2018-01-25,918.3861129314549
2018-01-26,923.5326983262437
2018-01-29,929.0463706524321
2018-01-30,916.9395211511188
2018-01-31,901.788430164527
2018-02-01,903.2279891656306
2018-02-02,905.6609020575697
2018-02-05,885.4385062251307
2018-02-06,872.8733752311482
2018-02-07,894.2920712830728
2018-02-08,896.0491066646298
2018-02-09,896.8333916818837
2018-02-12,900.6663866253701
2018-02-13,896.7170201333722
2018-02-14,896.5569929487616
2018-02-15,887.8135952862735
2018-02-16,890.0244818552474
2018-02-19,896.8559047098885
2018-02-20,899.2334854757374
2018-02-21,900.8292854759337
2018-02-22,898.2806505881329
2018-02-23,899.9113399440972
2018-02-26,895.6827837638191
2018-02-27,895.0397112317306
2018-02-28,887.1587571895233
2018-03-01,889.8551359211423
2018-03-02,880.3136162475631
2018-03-05,871.9550456943116
2018-03-06,867.1380031604951
2018-03-07,861.6117616951115
2018-03-08,866.3545748724925
2018-03-09,866.993946025586
2018-03-12,882.5627437267982
2018-03-13,886.3617024296263
2018-03-14,885.074715185844
2018-03-15,901.358589142323
2018-03-16,904.3181964043599
2018-03-19,896.0734326048861
2018-03-20,902.9358401583111
2018-03-21,901.8597612487484
2018-03-22,900.2331895783801
2018-03-23,896.4561939951428
2018-03-26,886.0433630344138
2018-03-27,887.9235588408998
2018-03-28,877.5623815481606
2018-03-29,888.7421540672491
2018-03-30,888.7421540672491
2018-04-02,894.6365310145924
2018-04-03,897.4135051312169
2018-04-04,892.5765123935789
2018-04-05,909.6946908929539
2018-04-06,907.2595997052223
2018-04-09,908.4660922786396
2018-04-10,912.9419721617521
2018-04-11,912.535829531796
2018-04-12,910.6875687400353
2018-04-13,909.965839010851
2018-04-16,913.4751824361769
2018-04-17,919.4811064609522
2018-04-18,918.7777557162624
2018-04-19,929.5951961332717
2018-04-20,936.0928142719574
2018-04-23,933.9599228412721
2018-04-24,927.2131288794963
2018-04-25,929.9886796739954
2018-04-26,936.7787669332611
