Date,ZHONG HUA IMI GROWTH
2020-11-03,3348.871467795918
2020-11-04,3428.2513261709737
2020-11-05,3476.1288021071086
2020-11-06,3486.820013232783
2020-11-09,3490.5516126407892
2020-11-10,3337.3570716158038
2020-11-11,3263.3065552927114
2020-11-12,3322.047364340484
2020-11-13,3379.0517534101486
2020-11-16,3380.2862178662554
2020-11-17,3326.824452907264
2020-11-18,3324.530528218449
2020-11-19,3332.2940431402512
2020-11-20,3409.501569556131
2020-11-23,3416.7126265336083
2020-11-24,3432.607648785285
2020-11-25,3370.483002267603
2020-11-26,3404.8548223351127
2020-11-27,3398.5137129278382
2020-11-30,3278.3123745976795
2020-12-01,3289.247119713464
2020-12-02,3247.2534999996533
2020-12-03,3277.3085246970236
2020-12-04,3294.3940326382585
2020-12-07,3269.312747286343
2020-12-08,3292.147518005264
2020-12-09,3289.1747502536828
2020-12-10,3283.591008065872
2020-12-11,3297.6187021920778
2020-12-14,3237.0676766548468
2020-12-15,3215.8177248959973
2020-12-16,3263.348425126039
2020-12-17,3290.7893022880926
2020-12-18,3268.2028555093034
2020-12-21,3281.6848568319283
2020-12-22,3261.215918200019
2020-12-23,3289.906587217491
2020-12-24,3164.728649571357
2020-12-25,3167.1246581876226
2020-12-28,3094.248151469304
2020-12-29,3179.452685438312
2020-12-30,3266.332300520746
2020-12-31,3278.2265494538988
2021-01-01,3278.2265494538988
2021-01-04,3288.270845226182
2021-01-05,3390.214804434953
2021-01-06,3333.6307860958036
2021-01-07,3303.519132641799
2021-01-08,3378.6989780352255
2021-01-11,3383.3231544747996
2021-01-12,3394.7665782281947
2021-01-13,3422.1840800795735
2021-01-14,3499.0642650121986
2021-01-15,3512.042106272357
2021-01-18,3562.526318116699
2021-01-19,3639.356864502933
2021-01-20,3765.1325059471824
2021-01-21,3750.203232004072
2021-01-22,3752.91884182522
2021-01-25,3923.802003963835
2021-01-26,3812.0947074223113
2021-01-27,3755.1797355543886
2021-01-28,3665.0661194239833
2021-01-29,3627.48547977456
2021-02-01,3787.490415245039
2021-02-02,3838.4088414902385
2021-02-03,3909.897357086596
2021-02-04,3912.9008345996763
2021-02-05,3908.692015537104
2021-02-08,3907.1291894857754
2021-02-09,3940.182467447275
2021-02-10,4010.6644033922757
2021-02-11,4028.238418573034
2021-02-12,4031.225596435797
2021-02-15,4027.3157875783677
2021-02-16,4059.1720633042482
2021-02-17,4118.02692939566
2021-02-18,4002.284511560324
2021-02-19,3983.2292332399325
2021-02-22,3818.371516405939
2021-02-23,3804.7579341491423
2021-02-24,3698.821526067039
2021-02-25,3624.9096612975854
2021-02-26,3529.2957720287473
2021-03-01,3699.075150171159
2021-03-02,3629.0588199815375
2021-03-03,3671.2203271254534
2021-03-04,3526.6182894275557
2021-03-05,3541.3329116033883
2021-03-08,3365.964600483185
2021-03-09,3449.5090902252828
2021-03-10,3455.0455681235635
2021-03-11,3566.777726936649
2021-03-12,3469.1992230771857
2021-03-15,3427.957673198238
2021-03-16,3458.2876698783616
2021-03-17,3468.3530659731637
2021-03-18,3494.8737203347155
2021-03-19,3474.672803208682
2021-03-22,3447.465461979305
2021-03-23,3415.517316873957
2021-03-24,3321.1171373716575
2021-03-25,3310.878667038794
2021-03-26,3373.7296541493893
2021-03-29,3363.5289475170416
2021-03-30,3393.9168367098946
2021-03-31,3375.4446066844107
2021-04-01,3480.704298206466
2021-04-02,3483.43504597799
2021-04-05,3466.8205771915204
2021-04-06,3484.2067745316012
2021-04-07,3383.256694886507
2021-04-08,3416.292690230394
2021-04-09,3368.3844661219864
2021-04-12,3385.229064882363
2021-04-13,3362.778389139907
2021-04-14,3380.43511336325
2021-04-15,3370.4985340695066
2021-04-16,3390.892987592356
2021-04-19,3384.4679545061313
2021-04-20,3356.3033146531043
2021-04-21,3331.060575067097
2021-04-22,3369.473719378266
2021-04-23,3420.4982561077204
2021-04-26,3413.8581525280556
2021-04-27,3424.651413620289
2021-04-28,3434.7992009929135
2021-04-29,3417.789387684363
2021-04-30,3377.829308675294
2021-05-03,3347.419250764235
2021-05-04,3351.671587681608
2021-05-05,3316.4720190658713
2021-05-06,3310.872924958647
2021-05-07,3256.157080440217
2021-05-10,3192.7980604533427
2021-05-11,3161.449133678151
2021-05-12,3199.861303305614
2021-05-13,3076.0394073685025
2021-05-14,3117.719710433717
2021-05-17,3166.057595323207
2021-05-18,3187.014401413371
2021-05-19,3188.4072084393097
2021-05-20,3219.1793102534502
2021-05-21,3179.8773746119177
2021-05-24,3153.0017237126126
2021-05-25,3225.445125055235
2021-05-26,3252.1896560730465
2021-05-27,3250.6684209712917
2021-05-28,3236.4202415285044
2021-05-31,3283.050691247175
2021-06-01,3358.885481789289
2021-06-02,3334.6938847955585
2021-06-03,3297.6847228786633
2021-06-04,3280.7881587880947
2021-06-07,3248.05503052124
2021-06-08,3232.1292100913984
2021-06-09,3227.4517756160094
2021-06-10,3236.8060241402754
2021-06-11,3256.759942576061
2021-06-14,3256.4116829547997
2021-06-15,3239.727697503538
2021-06-16,3191.036775824289
2021-06-17,3262.655559704895
2021-06-18,3327.382770502444
2021-06-21,3281.5574841592797
2021-06-22,3246.852569588476
2021-06-23,3302.1758659773604
2021-06-24,3331.28633433123
2021-06-25,3389.2512189949634
2021-06-28,3417.436100380776
2021-06-29,3412.7784079418234
2021-06-30,3410.8253992817654
2021-07-01,3392.6782833219895
2021-07-02,3311.766907329049
2021-07-05,3260.1841628521383
2021-07-06,3243.3742126590396
2021-07-07,3243.814662555811
2021-07-08,3123.526640915323
2021-07-09,3169.051161816835
2021-07-12,3187.244285964766
2021-07-13,3264.2215260354683
2021-07-14,3258.2771297360227
2021-07-15,3288.0472708725906
2021-07-16,3272.5360476184624
2021-07-19,3207.1862949143215
2021-07-20,3202.131183330882
2021-07-21,3203.9094325251117
2021-07-22,3237.685072369124
2021-07-23,3134.6448339771327
2021-07-26,2916.680854661691
2021-07-27,2701.799263115233
2021-07-28,2808.089164916894
2021-07-29,2938.9219826175217
2021-07-30,2888.835150275665
2021-08-02,2910.5022690796923
2021-08-03,2876.3720834070364
2021-08-04,2918.3051483456106
2021-08-05,2872.8373313151496
2021-08-06,2890.235773587501
2021-08-09,2918.195248738149
2021-08-10,2993.3984791230973
2021-08-11,2967.7407950778515
2021-08-12,2935.6656775871893
2021-08-13,2885.8194867141037
2021-08-16,2827.9956337991284
2021-08-17,2767.3005982545587
2021-08-18,2786.988559761861
2021-08-19,2716.8363467215922
2021-08-20,2668.642391641824
2021-08-23,2706.8571867336705
2021-08-24,2867.3361931633217
2021-08-25,2874.2742955723493
2021-08-26,2836.8865436074407
2021-08-27,2814.993326938445
2021-08-30,2832.3751987778514
2021-08-31,2897.8904016465094
2021-09-01,2913.382094113368
2021-09-02,2921.888295027132
2021-09-03,2889.5881000046543
2021-09-06,2942.546067012585
2021-09-07,2994.4186908492607
2021-09-08,2995.562363030647
2021-09-09,2895.9733651825572
2021-09-10,2938.808071395049
2021-09-13,2879.299962784205
2021-09-14,2847.17182781334
2021-09-15,2777.102800480268
2021-09-16,2747.3574659560786
2021-09-17,2809.9256804321403
2021-09-20,2735.1356433303245
2021-09-21,2740.6311545659146
2021-09-22,2747.028954312772
2021-09-23,2771.193682283441
2021-09-24,2743.206177072965
2021-09-27,2760.528915381272
2021-09-28,2782.6659451673204
2021-09-29,2779.8665914789044
2021-09-30,2791.50829731462
2021-10-01,2784.22409539666
2021-10-04,2717.0240166126655
2021-10-05,2728.0093573993695
2021-10-06,2713.6354601468333
2021-10-07,2819.9961083457383
2021-10-08,2839.841564093711
2021-10-11,2895.270134261482
2021-10-12,2847.7232901493044
2021-10-13,2863.407121215077
2021-10-14,2854.163894472162
2021-10-15,2898.535516304982
2021-10-18,2914.607730170748
2021-10-19,2957.437781415451
2021-10-20,3007.494434513873
2021-10-21,2977.837970220518
2021-10-22,2994.0522416557865
2021-10-25,3007.2531467587937
2021-10-26,2976.4468472786543
2021-10-27,2908.135155739494
2021-10-28,2885.124645076191
2021-10-29,2885.136472617586
2021-11-01,2853.9549102746973
2021-11-02,2842.0600327152893
2021-11-03,2841.5841097408106
2021-11-04,2880.2609984230426
2021-11-05,2829.757199571656
2021-11-08,2797.523398056271
2021-11-09,2805.2457101238597
2021-11-10,2861.743108759046
2021-11-11,2911.141139759158
2021-11-12,2945.223458428128
2021-11-15,2957.2157754644527
2021-11-16,3026.8364799737324
2021-11-17,3028.996079154405
2021-11-18,2965.251346401595
2021-11-19,2944.700988675561
2021-11-22,2950.842392698896
2021-11-23,2902.0205137384387
2021-11-24,2917.2281665540027
2021-11-25,2932.1643970436526
2021-11-26,2821.771695067699
2021-11-29,2820.1464182078153
2021-11-30,2782.868173709644
