Date,NORTH AMERICA VALUE
2002-09-12,2346.1426169159463
2002-09-13,2346.2703428067894
2002-09-16,2343.69998050819
2002-09-17,2294.8361164674525
2002-09-18,2281.886712774628
2002-09-19,2212.241852219141
2002-09-20,2220.9334009283602
2002-09-23,2194.4132684415135
2002-09-24,2143.042943723666
2002-09-25,2193.6668639533896
2002-09-26,2245.195623080685
2002-09-27,2180.058081097626
2002-09-30,2152.1352024153903
2002-10-01,2236.758589649839
2002-10-02,2170.1864587199047
2002-10-03,2143.6700336430467
2002-10-04,2091.4085288701863
2002-10-07,2039.4805275025337
2002-10-08,2056.153170133959
2002-10-09,1987.261223491126
2002-10-10,2079.6121623480753
2002-10-11,2169.216131236616
2002-10-14,2168.959836894771
2002-10-15,2290.563638885594
2002-10-16,2234.4212979476756
2002-10-17,2292.220740466455
2002-10-18,2296.7540163790654
2002-10-21,2347.048944355822
2002-10-22,2335.561570615594
2002-10-23,2351.1903340158174
2002-10-24,2327.588074356967
2002-10-25,2356.869784127918
2002-10-28,2345.2033576476165
2002-10-29,2312.3982265507584
2002-10-30,2346.5220145704548
2002-10-31,2330.8598283289252
2002-11-01,2379.4951113369334
2002-11-04,2407.2747844252976
2002-11-05,2430.7524675998775
2002-11-06,2452.0668618193185
2002-11-07,2380.8001561571496
2002-11-08,2364.0923283294246
2002-11-11,2310.0559059951884
2002-11-12,2335.5331705422113
2002-11-13,2325.042146752568
2002-11-14,2383.5434311699714
2002-11-15,2410.3168408725232
2002-11-18,2387.8841657185244
2002-11-19,2381.0313695738914
2002-11-20,2428.2236493156074
2002-11-21,2494.158437255616
2002-11-22,2488.7348100562926
2002-11-25,2501.3625462045857
2002-11-26,2439.646227281398
2002-11-27,2516.235112542311
2002-11-28,2516.5650959616014
2002-11-29,2514.9957546664723
2002-12-02,2512.3691897919816
2002-12-03,2462.676515246951
2002-12-04,2440.5412881968905
2002-12-05,2410.901490663447
2002-12-06,2426.777371446245
2002-12-09,2360.2381369044806
2002-12-10,2399.240576326852
2002-12-11,2401.687986737772
2002-12-12,2401.5183752111698
2002-12-13,2370.322066810632
2002-12-16,2436.9664411463295
2002-12-17,2421.5576456862836
2002-12-18,2382.316310923862
2002-12-19,2363.2263873306783
2002-12-20,2398.4123606094972
2002-12-23,2401.485270018327
2002-12-24,2381.345222083403
2002-12-25,2381.345222083403
2002-12-26,2379.329437191283
2002-12-27,2333.956668345609
2002-12-30,2338.831869331564
2002-12-31,2345.039539448685
2003-01-01,2345.039539448685
2003-01-02,2429.5869659559103
2003-01-03,2432.3062740743203
2003-01-06,2508.322203156229
2003-01-07,2487.5800160996146
2003-01-08,2448.1127276600077
2003-01-09,2495.383381524839
2003-01-10,2502.0474994310234
2003-01-13,2498.1611910873
2003-01-14,2521.3252854014786
2003-01-15,2485.673584312327
2003-01-16,2472.8038493087674
2003-01-17,2437.0511346358835
2003-01-20,2436.8460155028997
2003-01-21,2392.8408142234325
2003-01-22,2367.5745890966973
2003-01-23,2394.909997179862
2003-01-24,2321.4216916862206
2003-01-27,2279.2600574699973
2003-01-28,2308.1694409983775
2003-01-29,2329.9780539185335
2003-01-30,2273.5620912909785
2003-01-31,2300.9175227398946
2003-02-03,2314.6020630778667
2003-02-04,2279.481994081195
2003-02-05,2264.7732049803576
2003-02-06,2244.0360458066098
2003-02-07,2218.4389858175355
2003-02-10,2233.6600766302063
2003-02-11,2215.7731100118754
2003-02-12,2180.876655569831
2003-02-13,2184.2958589383647
2003-02-14,2230.7005040978847
2003-02-17,2232.0890626340733
2003-02-18,2277.7299487711443
2003-02-19,2258.842498237493
2003-02-20,2238.1971403834596
2003-02-21,2264.3044592089996
2003-02-24,2225.159473854652
2003-02-25,2236.1746565776257
2003-02-26,2205.8750351952435
2003-02-27,2234.0238408508253
2003-02-28,2247.0744689451676
2003-03-03,2233.934621564737
2003-03-04,2200.08044594405
2003-03-05,2223.3376425378847
2003-03-06,2195.848618164799
2003-03-07,2208.4329975976916
2003-03-10,2148.3840470913733
2003-03-11,2126.0260684594473
2003-03-12,2124.231266231536
2003-03-13,2199.870006414241
2003-03-14,2205.8570389539695
2003-03-17,2283.1130706385634
2003-03-18,2297.2004826669545
2003-03-19,2311.795584844207
2003-03-20,2322.312278111821
2003-03-21,2371.0504512115003
2003-03-24,2284.595582763746
2003-03-25,2310.0528824506537
2003-03-26,2300.746483299815
2003-03-27,2294.546239194889
2003-03-28,2282.296454019286
2003-03-31,2235.150119788908
2003-04-01,2269.5380117675477
2003-04-02,2330.3548385307495
2003-04-03,2311.7521171012017
2003-04-04,2321.8896292309378
2003-04-07,2330.4149779044433
2003-04-08,2320.6856928602792
2003-04-09,2292.805607195553
2003-04-10,2309.3066932003135
2003-04-11,2301.8120704174676
2003-04-14,2347.198095571572
2003-04-15,2364.0582728748163
2003-04-16,2344.9023666238772
2003-04-17,2381.557442537222
2003-04-18,2381.557442537222
2003-04-21,2382.141381298464
2003-04-22,2437.9822721911023
2003-04-23,2471.241104283049
2003-04-24,2442.3208400230064
2003-04-25,2407.398012953463
2003-04-28,2454.2296141149336
2003-04-29,2459.176525328179
2003-04-30,2465.7586002523726
2003-05-01,2465.8507340718493
2003-05-02,2505.3408509986507
2003-05-05,2497.7534668343797
2003-05-06,2520.7140327186034
2003-05-07,2507.3630480533034
2003-05-08,2477.7389659665046
2003-05-09,2512.735410244221
2003-05-12,2549.4560682273705
2003-05-13,2544.746367287021
2003-05-14,2542.094704983489
2003-05-15,2564.7509547550844
2003-05-16,2571.6279014948923
2003-05-19,2507.880922231489
2003-05-20,2506.9337481902558
2003-05-21,2522.3470741445453
2003-05-22,2545.7008201736685
2003-05-23,2558.2680344196347
2003-05-26,2558.633068154122
2003-05-27,2613.006156642034
2003-05-28,2616.7621464298395
2003-05-29,2607.763982933651
2003-05-30,2647.514621567423
2003-06-02,2672.653427991296
2003-06-03,2679.5129835635457
2003-06-04,2720.0190771518733
2003-06-05,2731.9607651244833
2003-06-06,2731.89817549659
2003-06-09,2693.566815048898
