Date,AUSTRALIA SMALL CAP QUALITY
2013-01-11,4137.841098885658
2013-01-14,4151.411895289142
2013-01-15,4130.409648065274
2013-01-16,4155.766007319082
2013-01-17,4147.148359503519
2013-01-18,4151.923090346028
2013-01-21,4185.375291523681
2013-01-22,4193.088763620325
2013-01-23,4215.706442622996
2013-01-24,4199.065059678138
2013-01-25,4215.689196592758
2013-01-28,4203.16954672981
2013-01-29,4248.043593796592
2013-01-30,4225.286811634938
2013-01-31,4243.461809092788
2013-02-01,4251.1562067616105
2013-02-04,4260.2700508991265
2013-02-05,4193.416612003452
2013-02-06,4198.802320115883
2013-02-07,4213.156390581612
2013-02-08,4252.972381944641
2013-02-11,4247.036497080493
2013-02-12,4290.33492201747
2013-02-13,4309.453427797479
2013-02-14,4315.614564294807
2013-02-15,4317.132251172962
2013-02-18,4320.546400329239
2013-02-19,4306.959887912016
2013-02-20,4258.369067382216
2013-02-21,4187.451239968331
2013-02-22,4302.338842629544
2013-02-25,4332.827485879088
2013-02-26,4283.0127170611295
2013-02-27,4280.570078092985
2013-02-28,4325.431802214364
2013-03-01,4266.489081215854
2013-03-04,4203.617428996606
2013-03-05,4274.736100119786
2013-03-06,4327.831126599121
2013-03-07,4318.463991319502
2013-03-08,4337.372986435263
2013-03-11,4374.980596590471
2013-03-12,4366.456867678131
2013-03-13,4352.921206115327
2013-03-14,4348.028198885537
2013-03-15,4441.626244180864
2013-03-18,4366.802989656087
2013-03-19,4370.612655681858
2013-03-20,4346.315852352986
2013-03-21,4356.532634015023
2013-03-22,4363.977136322549
2013-03-25,4360.3649431308895
2013-03-26,4379.343764847048
2013-03-27,4391.968896404078
2013-03-28,4378.195069260103
2013-03-29,4378.195069260103
2013-04-01,4373.575612566242
2013-04-02,4380.605805909412
2013-04-03,4356.690570645459
2013-04-04,4230.4893238829045
2013-04-05,4251.652692421032
2013-04-08,4281.372101943747
2013-04-09,4343.755412708419
2013-04-10,4365.870386957854
2013-04-11,4379.473459245082
2013-04-12,4328.931822260534
2013-04-15,4193.472647006788
2013-04-16,4129.769150420028
2013-04-17,4139.091752357529
2013-04-18,4053.8054806457685
2013-04-19,4116.715780784155
2013-04-22,4111.013896578475
2013-04-23,4118.26009910472
2013-04-24,4177.413001040406
2013-04-25,4199.811998365019
2013-04-26,4222.203852751003
2013-04-29,4233.9446063738715
2013-04-30,4244.088776521367
2013-05-01,4190.350998481798
2013-05-02,4096.430230786797
2013-05-03,4146.285779897143
2013-05-06,4129.755080174374
2013-05-07,4123.848015085217
2013-05-08,4194.359219760345
2013-05-09,4225.475890507685
2013-05-10,4173.517434001738
2013-05-13,4148.7583537035125
2013-05-14,4106.36160915476
2013-05-15,4037.821569992404
2013-05-16,3981.846562498271
2013-05-17,3915.7438239099674
2013-05-20,3957.125046986652
2013-05-21,3941.791834042338
2013-05-22,3872.775628621105
2013-05-23,3762.2441093339557
2013-05-24,3688.638407838175
2013-05-27,3630.585351597284
2013-05-28,3659.762143249753
2013-05-29,3672.9802189255533
2013-05-30,3698.6752216336517
2013-05-31,3682.4898931391813
2013-06-03,3691.263208463065
2013-06-04,3685.617958265679
2013-06-05,3620.787726045921
2013-06-06,3565.7185986265526
2013-06-07,3526.549521673025
2013-06-10,3511.489126710431
2013-06-11,3509.6159735751557
2013-06-12,3519.0430059592586
2013-06-13,3505.082624582307
2013-06-14,3576.8067789249835
2013-06-17,3561.2476609789187
2013-06-18,3490.5554811507686
2013-06-19,3589.2870501181756
2013-06-20,3384.7090676070898
2013-06-21,3397.5715529973318
2013-06-24,3340.768218064636
2013-06-25,3307.5173729805047
2013-06-26,3385.203537193152
2013-06-27,3423.90489745654
2013-06-28,3334.2210893527167
2013-07-01,3324.8202767102116
2013-07-02,3407.0532157559674
2013-07-03,3347.663557537966
2013-07-04,3435.1533112643783
2013-07-05,3423.839018820614
2013-07-08,3408.399338523648
2013-07-09,3474.222244337618
2013-07-10,3473.128523562153
2013-07-11,3533.307742034355
2013-07-12,3531.643039727059
2013-07-15,3538.6000385743387
2013-07-16,3559.5389461429904
2013-07-17,3562.652605271603
2013-07-18,3528.690368824538
2013-07-19,3557.3739656575367
2013-07-22,3643.2006554253935
2013-07-23,3659.7919692215255
2013-07-24,3639.396038413816
2013-07-25,3554.9246571737986
2013-07-26,3585.4266277308575
2013-07-29,3561.6535679409626
2013-07-30,3511.156982291953
2013-07-31,3518.4327178812564
2013-08-01,3494.1567909402465
2013-08-02,3503.0625261069963
2013-08-05,3515.957115161289
2013-08-06,3519.2365913105073
2013-08-07,3465.9206871364536
2013-08-08,3542.9703889255075
2013-08-09,3587.5217577991853
2013-08-12,3670.7220294268313
2013-08-13,3721.8548462274334
2013-08-14,3759.1696968326833
2013-08-15,3738.279590680167
2013-08-16,3781.1890483288744
2013-08-19,3797.760925787061
2013-08-20,3739.74058408416
2013-08-21,3750.176397676643
2013-08-22,3719.8813284946636
2013-08-23,3777.1042743402313
2013-08-26,3817.587895700795
2013-08-27,3773.5882118086674
2013-08-28,3732.8483344524407
2013-08-29,3689.663015599176
2013-08-30,3733.1061674663856
2013-09-02,3836.973145508036
2013-09-03,3857.3676730840066
2013-09-04,3934.2497783157323
2013-09-05,3923.7531431408497
2013-09-06,3943.806038642616
2013-09-09,3984.461267591743
2013-09-10,4028.3454872774996
2013-09-11,4033.808464159572
2013-09-12,4012.4374885800958
2013-09-13,3961.331336621932
2013-09-16,4015.8852145223705
2013-09-17,4007.180299979939
2013-09-18,3975.600710480713
2013-09-19,4116.488417268909
2013-09-20,4047.0871069643777
2013-09-23,4048.131420774244
2013-09-24,4016.3548282328056
2013-09-25,4034.1639004891563
2013-09-26,4048.5018295805244
2013-09-27,4034.3737863384827
2013-09-30,4006.569167576952
2013-10-01,4005.767898894238
2013-10-02,3999.274530327222
2013-10-03,4006.920216710391
2013-10-04,4009.0966967512236
2013-10-07,3926.879189383728
2013-10-08,3930.8513440738893
2013-10-09,3923.338939218239
2013-10-10,3908.3766780477235
2013-10-11,3969.0102007696937
2013-10-14,3919.5863386476803
2013-10-15,3994.132908792213
2013-10-16,3986.6741384378874
2013-10-17,4022.336839743914
2013-10-18,4097.010409820151
