Date,FM (FRONTIER MARKETS) SMALL CAP
2019-01-31,1319.0558450062424
2019-02-01,1319.0422453275994
2019-02-04,1326.0945727479123
2019-02-05,1327.821025414563
2019-02-06,1327.1463101760728
2019-02-07,1326.3085429630335
2019-02-08,1330.1415954864099
2019-02-11,1329.9604493212212
2019-02-12,1332.719190028832
2019-02-13,1332.380411368934
2019-02-14,1330.988515329169
2019-02-15,1332.2069355177234
2019-02-18,1330.0475392042144
2019-02-19,1324.816850467441
2019-02-20,1323.0527868880517
2019-02-21,1321.628189357977
2019-02-22,1324.868109434593
2019-02-25,1324.142642960946
2019-02-26,1325.2664755018034
2019-02-27,1318.5396481753587
2019-02-28,1313.8518079498806
2019-03-01,1312.267220807722
2019-03-04,1317.4370186570445
2019-03-05,1320.73843034251
2019-03-06,1318.534633175544
2019-03-07,1324.4163927531079
2019-03-08,1318.6201196311756
2019-03-11,1318.5917270753948
2019-03-12,1310.3302359077488
2019-03-13,1304.2419159333924
2019-03-14,1303.0639138777503
2019-03-15,1303.4988633589724
2019-03-18,1303.8347559978622
2019-03-19,1305.5324810574527
2019-03-20,1304.8243217677805
2019-03-21,1298.3640502130397
2019-03-22,1301.0043639281917
2019-03-25,1293.1626270729737
2019-03-26,1296.1733926658555
2019-03-27,1294.007001881881
2019-03-28,1295.8874259834151
2019-03-29,1294.3171247335704
2019-04-01,1295.644598633907
2019-04-02,1301.4543764547332
2019-04-03,1294.6266355197656
2019-04-04,1299.3608406003996
2019-04-05,1300.2665027646344
2019-04-08,1299.5884074918145
2019-04-09,1292.4219576678518
2019-04-10,1294.0369058711576
2019-04-11,1293.6738779336783
2019-04-12,1288.6617855473294
2019-04-15,1294.750166574884
2019-04-16,1291.6469510489326
2019-04-17,1291.099829090947
2019-04-18,1296.0477559768383
2019-04-19,1296.765450060902
2019-04-22,1290.9038138081353
2019-04-23,1292.063081791587
2019-04-24,1290.233580419325
2019-04-25,1294.4868009725026
2019-04-26,1293.1325362928064
2019-04-29,1284.6788731371437
2019-04-30,1281.3112595701225
2019-05-01,1277.255573360362
2019-05-02,1288.4025537672294
2019-05-03,1289.8272457347384
2019-05-06,1288.9802694817001
2019-05-07,1286.503570192681
2019-05-08,1289.2360707800917
2019-05-09,1284.3687427100435
2019-05-10,1285.4038157917148
2019-05-13,1277.4228557171962
2019-05-14,1272.833406078824
2019-05-15,1277.069117313
2019-05-16,1283.432492456602
2019-05-17,1282.2374305730477
2019-05-20,1282.5822300544282
2019-05-21,1280.7860915891895
2019-05-22,1283.9962516619066
2019-05-23,1280.7786661623468
2019-05-24,1275.8527034185906
2019-05-27,1280.4114946987793
2019-05-28,1292.6830107755707
2019-05-29,1295.7414324143567
2019-05-30,1296.7016333065435
2019-05-31,1290.305653852657
2019-06-03,1284.465941955498
2019-06-04,1282.1198068209153
2019-06-05,1281.2636849209703
2019-06-06,1278.5340243810163
2019-06-07,1277.5093572096107
2019-06-10,1286.3504647064583
2019-06-11,1292.217438115029
2019-06-12,1287.770105203395
2019-06-13,1286.1453351757116
2019-06-14,1289.920988220941
2019-06-17,1281.2421367789993
2019-06-18,1283.980672412443
2019-06-19,1285.3552198378463
2019-06-20,1279.805895630331
2019-06-21,1277.6206920118673
2019-06-24,1275.0627313944021
2019-06-25,1278.6662274355697
2019-06-26,1276.1523647489605
2019-06-27,1280.5279422961546
2019-06-28,1281.6571948979913
2019-07-01,1287.5805247329959
2019-07-02,1284.5545033976039
2019-07-03,1286.5314292375135
2019-07-04,1291.449666917097
2019-07-05,1298.6938392119935
2019-07-08,1296.7317232587045
2019-07-09,1297.5162471636384
2019-07-10,1294.5019528106388
