Date,MALAYSIA IMI VALUE WEIGHTED
2015-01-06,8331.037343292845
2015-01-07,8313.458605571279
2015-01-08,8435.487283016919
2015-01-09,8444.615051528186
2015-01-12,8450.042414582866
2015-01-13,8526.149393709593
2015-01-14,8478.917275868705
2015-01-15,8738.793035144821
2015-01-16,8793.43279419502
2015-01-19,8726.300494208397
2015-01-20,8668.460334893467
2015-01-21,8730.762558481449
2015-01-22,8947.237405117969
2015-01-23,9159.367826797412
2015-01-26,9083.65393057592
2015-01-27,9045.512191414444
2015-01-28,9001.862708307344
2015-01-29,8907.485557160879
2015-01-30,8957.809032420351
2015-02-02,8911.217527777797
2015-02-03,8829.488232200501
2015-02-04,9103.559346854394
2015-02-05,9087.549697488232
2015-02-06,9274.591314881676
2015-02-09,9245.453563822732
2015-02-10,9217.346153437577
2015-02-11,9151.199477567021
2015-02-12,9040.592905427704
2015-02-13,9133.167429767092
2015-02-16,9162.142383317972
2015-02-17,9159.048965039698
2015-02-18,9107.483973487662
2015-02-19,9084.296489599232
2015-02-20,9101.87616350267
2015-02-23,9081.252324844547
2015-02-24,9131.451574938794
2015-02-25,9179.011950752722
2015-02-26,9376.749902290561
2015-02-27,9333.865726608055
2015-03-02,9249.32355406733
2015-03-03,9288.169222163455
2015-03-04,9347.437479637678
2015-03-05,9286.08889019949
2015-03-06,9426.647226163248
2015-03-09,9312.157118887606
2015-03-10,9380.972152719423
2015-03-11,9437.659510414444
2015-03-12,9467.498263830728
2015-03-13,9545.34516734658
2015-03-16,9417.788877637875
2015-03-17,9445.511609111809
2015-03-18,9409.810972547035
2015-03-19,9491.008296498905
2015-03-20,9257.248240294324
2015-03-23,9193.631901217672
2015-03-24,9414.132497694603
2015-03-25,9319.392911418676
2015-03-26,9403.1958616405
2015-03-27,9359.676403370282
2015-03-30,9380.187028495546
2015-03-31,9525.214770664956
2015-04-01,9488.615153124796
2015-04-02,9495.72635516925
2015-04-03,9507.55340590082
2015-04-06,9506.755084967972
2015-04-07,9707.101156314684
2015-04-08,9773.341847128315
2015-04-09,9875.930290489217
2015-04-10,9798.493860983477
2015-04-13,9733.792517837868
2015-04-14,9625.781619219186
2015-04-15,9701.180704590364
2015-04-16,9801.949212246456
2015-04-17,9804.265508212788
2015-04-20,9845.617132415215
2015-04-21,9901.087837934123
2015-04-22,9949.135824270852
2015-04-23,9815.700954643267
2015-04-24,9955.036487835918
2015-04-27,9955.833534801854
2015-04-28,9871.57811069186
2015-04-29,9660.85003446557
2015-04-30,9501.590133692802
2015-05-01,9487.196992033387
2015-05-04,9539.046565703058
2015-05-05,9427.35364742309
2015-05-06,9371.641829651433
2015-05-07,9302.012819686519
2015-05-08,9349.411740024716
2015-05-11,9380.562997935256
2015-05-12,9223.718426500105
2015-05-13,9219.847151302094
2015-05-14,9270.273769640537
2015-05-15,9283.00203160411
2015-05-18,9383.39256739624
2015-05-19,9475.002669732083
2015-05-20,9427.450965991693
2015-05-21,9378.518163275048
2015-05-22,9452.030770883533
2015-05-25,9347.336992406923
2015-05-26,9316.38027475189
2015-05-27,9281.052722949295
2015-05-28,9223.463738684057
2015-05-29,9093.05787792373
2015-06-01,9102.115418991034
2015-06-02,8870.036099121566
2015-06-03,8820.47812965096
2015-06-04,8766.812651118587
2015-06-05,8859.821388095128
2015-06-08,8647.409151155942
2015-06-09,8598.599594338531
2015-06-10,8618.53407390319
2015-06-11,8632.917628205108
2015-06-12,8574.239376430865
2015-06-15,8514.759607875149
2015-06-16,8539.799142038702
2015-06-17,8553.07215082262
2015-06-18,8486.994154241316
2015-06-19,8487.417085560257
2015-06-22,8522.814225380405
2015-06-23,8645.03550257795
2015-06-24,8637.900453469569
2015-06-25,8559.974002484509
2015-06-26,8541.55746101177
2015-06-29,8390.192479836942
2015-06-30,8488.769690121482
2015-07-01,8674.765977403167
2015-07-02,8635.234698354257
2015-07-03,8628.740006472191
2015-07-06,8496.26684599506
2015-07-07,8566.790495549023
2015-07-08,8352.90074566558
2015-07-09,8426.082692766417
2015-07-10,8412.63877346625
2015-07-13,8518.794374199108
2015-07-14,8539.932481432903
2015-07-15,8610.019717750954
2015-07-16,8655.600017656037
2015-07-17,8695.474712536288
2015-07-20,8683.413966736576
2015-07-21,8692.557251296035
2015-07-22,8721.87093750244
2015-07-23,8594.826623428407
2015-07-24,8589.041280050884
2015-07-27,8407.931597047462
2015-07-28,8400.702023922038
2015-07-29,8414.251762550917
2015-07-30,8483.462881352654
2015-07-31,8477.926658598073
2015-08-03,8518.721303763776
2015-08-04,8453.607493453585
2015-08-05,8478.432614351881
2015-08-06,8250.993823369288
2015-08-07,8125.883841104705
2015-08-10,7932.8640608860815
2015-08-11,7724.775619995906
2015-08-12,7326.4144512948105
2015-08-13,7505.589402940273
2015-08-14,7269.578273194331
2015-08-17,7108.6269266784775
2015-08-18,7194.709677982654
2015-08-19,7191.563692646957
2015-08-20,7013.006312640524
2015-08-21,6848.89233517851
2015-08-24,6380.559124412467
2015-08-25,6611.6074800893775
2015-08-26,6631.8152813448805
2015-08-27,6885.79969037298
2015-08-28,6988.137432833713
2015-08-31,6998.427862788353
2015-09-01,7012.589092870019
2015-09-02,6877.037699466258
2015-09-03,6967.276944168893
2015-09-04,6869.887759038676
2015-09-07,6704.42220866523
2015-09-08,6699.483380132249
2015-09-09,6803.45612785105
2015-09-10,6803.818546457957
2015-09-11,6760.852894089527
2015-09-14,6921.5518311793685
2015-09-15,6979.595216028263
2015-09-16,6966.928074075398
2015-09-17,7181.534259712622
2015-09-18,7174.738828306741
2015-09-21,7068.535709138022
2015-09-22,7058.349913299705
2015-09-23,6887.9525717869965
2015-09-24,6800.392559911954
2015-09-25,6810.401643076453
2015-09-28,6718.595900983276
2015-09-29,6624.448684115098
2015-09-30,6824.596906988996
2015-10-01,6836.171892934645
2015-10-02,6753.8190062770245
2015-10-05,6915.892193118742
2015-10-06,6951.373952708791
2015-10-07,7372.734836998311
2015-10-08,7325.627148428432
2015-10-09,7527.245085522204
2015-10-12,7515.954945956349
2015-10-13,7446.937081268919
2015-10-14,7406.238098444568
