Date,WORLD ex EMU HIGH DIVIDEND YIELD
2009-02-05,949.8780565091234
2009-02-06,976.1346927059948
2009-02-09,973.0141992562087
2009-02-10,933.382220829304
2009-02-11,941.3469696206205
2009-02-12,940.8294057820752
2009-02-13,927.9590868933655
2009-02-16,924.8531395592967
2009-02-17,899.7234323577884
2009-02-18,894.9965367956925
2009-02-19,882.7582486938621
2009-02-20,863.6516444799869
2009-02-23,844.1528781352796
2009-02-24,855.8403944404681
2009-02-25,858.8137439813001
2009-02-26,866.6620978250069
2009-02-27,846.9484741770384
2009-03-02,808.2654988892598
2009-03-03,791.8533164155201
2009-03-04,808.1478631920266
2009-03-05,783.0898461069743
2009-03-06,775.3435665174471
2009-03-09,767.3695152113821
2009-03-10,810.619593326638
2009-03-11,814.1923374626645
2009-03-12,837.8356911478496
2009-03-13,848.4387498703178
2009-03-16,857.1196948914119
2009-03-17,872.705461992461
2009-03-18,878.2688933980061
2009-03-19,847.9426007045108
2009-03-20,843.5712427764785
2009-03-23,892.899605853167
2009-03-24,887.3742260141662
2009-03-25,893.8841099404327
2009-03-26,900.1140325082732
2009-03-27,898.9601824043959
2009-03-30,866.1905661278017
2009-03-31,880.8505501078081
2009-04-01,899.366708348504
2009-04-02,924.1637346553821
2009-04-03,930.0910876886232
2009-04-06,925.2980106652547
2009-04-07,916.2203553470674
2009-04-08,916.1334091718583
2009-04-09,955.024867609068
2009-04-10,956.0143198185831
2009-04-13,960.8932852012977
2009-04-14,957.4082550278254
2009-04-15,972.4033620585531
2009-04-16,985.9796225132496
2009-04-17,1005.5580583365279
2009-04-20,967.0479484125848
2009-04-21,977.9585148989382
2009-04-22,972.3527272671245
2009-04-23,982.6652099302164
2009-04-24,987.7760458770086
2009-04-27,990.4881589514767
2009-04-28,979.2429088246763
2009-04-29,987.9323412434347
2009-04-30,998.5711850890383
2009-05-01,1000.8070493137074
2009-05-04,1031.974273564055
2009-05-05,1038.4241497910252
2009-05-06,1067.471181764483
2009-05-07,1057.6810605550106
2009-05-08,1078.067142683512
2009-05-11,1049.5999312318531
