Date,UNITED KINGDOM IMI VALUE
2022-03-21,1132.1306587705826
2022-03-22,1143.9899191744007
2022-03-23,1139.4660942352414
2022-03-24,1141.6156650617384
2022-03-25,1146.113014122346
2022-03-28,1133.174358477941
2022-03-29,1141.6647866488634
2022-03-30,1155.380883981058
2022-03-31,1146.3473756834526
2022-04-01,1147.1563207326324
2022-04-04,1147.4249184609914
2022-04-05,1157.4808943687367
2022-04-06,1152.0212213566424
2022-04-07,1142.9974534897437
2022-04-08,1159.530930469774
2022-04-11,1156.9793258848915
2022-04-12,1153.4890866074315
2022-04-13,1153.8751183543563
2022-04-14,1159.1094487484354
2022-04-15,1159.1094487484356
2022-04-18,1156.7104640321595
2022-04-19,1154.5910822951114
2022-04-20,1159.904338542786
2022-04-21,1157.212496949974
2022-04-22,1123.4769791207307
2022-04-25,1083.491524930589
2022-04-26,1078.2401911661054
2022-04-27,1077.256430512909
2022-04-28,1083.4768356544516
2022-04-29,1097.7617331359104
2022-05-02,1094.7451835705438
2022-05-03,1101.2062692610493
2022-05-04,1091.404552067166
2022-05-05,1081.384807671132
2022-05-06,1067.9957421038391
2022-05-09,1037.0644508789344
2022-05-10,1041.2803833972885
2022-05-11,1061.8418033603057
2022-05-12,1032.9616633009916
2022-05-13,1058.5780811959175
2022-05-16,1070.9925730947689
2022-05-17,1101.9308713728847
2022-05-18,1089.618153101271
2022-05-19,1080.9784533757731
2022-05-20,1090.455654235037
2022-05-23,1120.9246781963307
2022-05-24,1112.66499096071
2022-05-25,1122.098608689147
2022-05-26,1130.8654007879384
2022-05-27,1134.5816204003002
2022-05-30,1137.87351647581
2022-05-31,1132.7859803207677
2022-06-01,1116.4903165620908
2022-06-02,1120.734168043442
2022-06-03,1118.7685947257628
2022-06-06,1132.6835996068967
2022-06-07,1136.4590079460002
2022-06-08,1132.7437791188092
2022-06-09,1114.132989479502
2022-06-10,1075.1199508203538
2022-06-13,1041.9636086191335
2022-06-14,1032.4065772111087
2022-06-15,1046.6922318167137
2022-06-16,1029.78985451606
2022-06-17,1013.3239055558346
2022-06-20,1036.358944036797
2022-06-21,1042.936116306199
2022-06-22,1032.049874512757
2022-06-23,1017.1333269373931
2022-06-24,1042.0487706302174
2022-06-27,1051.1682678113307
2022-06-28,1053.9706989386693
2022-06-29,1045.462378720509
2022-06-30,1024.0856980007893
2022-07-01,1010.8318998498007
2022-07-04,1031.2248926068646
2022-07-05,979.2375774665196
2022-07-06,984.3903295960932
2022-07-07,1008.1229338576193
2022-07-08,1009.9884047744175
2022-07-11,997.0187343180204
2022-07-12,998.1740383624503
2022-07-13,995.8505426897515
2022-07-14,961.7241677484292
2022-07-15,983.4087425354268
2022-07-18,1008.6551385595355
2022-07-19,1019.6638708792073
2022-07-20,1011.8763348172663
2022-07-21,1007.4590797116133
2022-07-22,1015.952168870803
2022-07-25,1024.4125622013023
2022-07-26,1024.4968753886055
2022-07-27,1027.4359594408252
2022-07-28,1031.7995675689053
2022-07-29,1046.3481001623643
2022-08-01,1054.5520181574673
2022-08-02,1050.0034306280243
2022-08-03,1044.7248970182866
2022-08-04,1044.0134629117879
2022-08-05,1041.3953519308582
2022-08-08,1051.8240309133378
2022-08-09,1052.3636045007481
2022-08-10,1067.2416558198845
2022-08-11,1063.385345448615
2022-08-12,1058.9093743116887
2022-08-15,1052.5516520236588
2022-08-16,1059.6219991264352
2022-08-17,1051.2714531048396
2022-08-18,1054.214080235398
2022-08-19,1036.9260396292436
2022-08-22,1034.1746148958425
2022-08-23,1037.54018187774
2022-08-24,1028.5837418268272
2022-08-25,1030.6027625606055
2022-08-26,1024.7539499064885
2022-08-29,1016.1502403665039
2022-08-30,1003.3410137752307
2022-08-31,993.3681088162008
2022-09-01,966.8400604248252
2022-09-02,988.734874244148
2022-09-05,985.7604078465976
2022-09-06,989.6395204613299
2022-09-07,972.8886479699653
2022-09-08,977.5854464389304
2022-09-09,998.7324832383566
2022-09-12,1025.947391090213
