Date,AUSTRALIA IMI MOMENTUM
2006-12-29,6591.549902469767
2007-01-01,6591.549902469767
2007-01-02,6652.229274699498
2007-01-03,6587.86265910568
2007-01-04,6430.0307250249725
2007-01-05,6378.342242192824
2007-01-08,6276.232190044472
2007-01-09,6365.016450698761
2007-01-10,6247.168769942538
2007-01-11,6327.792194699481
2007-01-12,6432.359231971795
2007-01-15,6482.289325686903
2007-01-16,6476.783467261952
2007-01-17,6477.621601768767
2007-01-18,6519.087577554347
2007-01-19,6521.027024249345
2007-01-22,6603.860654633923
2007-01-23,6658.25175315553
2007-01-24,6604.479123460256
2007-01-25,6590.19800343794
2007-01-26,6542.789552260277
2007-01-29,6522.160594767545
2007-01-30,6594.673206911438
2007-01-31,6559.112535154897
2007-02-01,6616.01201878427
2007-02-02,6644.535358998978
2007-02-05,6623.0555195698025
2007-02-06,6673.711267795516
2007-02-07,6725.176200263031
2007-02-08,6758.051868548116
2007-02-09,6741.404945824808
2007-02-12,6707.061759629609
2007-02-13,6762.75553042034
2007-02-14,6865.123680179717
2007-02-15,6900.213207339403
2007-02-16,6873.75890917539
2007-02-19,6948.572954295052
2007-02-20,6954.032101199686
2007-02-21,6941.105608521985
2007-02-22,7008.199163005656
2007-02-23,7076.316255901111
2007-02-26,7131.312637266762
2007-02-27,7087.717292477419
2007-02-28,6825.469534278044
2007-03-01,6786.679960278902
2007-03-02,6734.552968760434
2007-03-05,6475.490482018644
2007-03-06,6626.514811838746
2007-03-07,6740.065003571462
2007-03-08,6707.52500406587
2007-03-09,6765.661610609016
2007-03-12,6872.175245370481
2007-03-13,6880.087525479054
2007-03-14,6713.253837524698
2007-03-15,6865.793460754493
2007-03-16,6906.661318353413
2007-03-19,6987.164743680259
2007-03-20,7030.560056096975
2007-03-21,7015.054080515143
2007-03-22,7187.843464435366
2007-03-23,7150.739641061319
2007-03-26,7224.7227363425445
2007-03-27,7186.947844981443
2007-03-28,7108.241453287879
2007-03-29,7154.874423102297
2007-03-30,7203.965524404272
2007-04-02,7181.04440627058
2007-04-03,7281.293068489113
2007-04-04,7447.637611149013
2007-04-05,7444.086299616057
2007-04-06,7444.086299616057
2007-04-09,7417.741982978198
2007-04-10,7573.770396370251
2007-04-11,7573.0155152615
2007-04-12,7590.896597347158
2007-04-13,7594.447887537662
2007-04-16,7681.621435149922
2007-04-17,7694.191960735138
2007-04-18,7728.861542089504
2007-04-19,7612.561865918498
2007-04-20,7664.992465969477
2007-04-23,7651.831534498983
2007-04-24,7597.192009037141
2007-04-25,7651.3233209788295
2007-04-26,7635.222799258263
2007-04-27,7607.442900030138
2007-04-30,7622.217684543876
2007-05-01,7528.870753083924
2007-05-02,7604.352728039144
2007-05-03,7620.247838974595
2007-05-04,7667.6581071537685
