Date,COLOMBIA EQUAL WEIGHTED
2021-05-04,10733.336192734634
2021-05-05,10988.363777491326
2021-05-06,11435.778630695393
2021-05-07,11640.71365210837
2021-05-10,12142.732447135262
2021-05-11,12020.1900579447
2021-05-12,11838.821690516834
2021-05-13,11422.246793097802
2021-05-14,11969.854257159155
2021-05-17,11951.63404034206
2021-05-18,11811.233961870596
2021-05-19,11690.22845433055
2021-05-20,11592.63411374763
2021-05-21,11452.061498661567
2021-05-24,11218.07072711557
2021-05-25,11121.537308629493
2021-05-26,10951.590514989239
2021-05-27,11241.007570018457
2021-05-28,11452.079716319467
2021-05-31,11268.846556256574
2021-06-01,11687.821673211514
2021-06-02,12151.66461374922
2021-06-03,12202.236864911658
2021-06-04,12257.290489535753
2021-06-07,12248.388451813622
2021-06-08,12475.066555461884
2021-06-09,12434.490580721358
2021-06-10,12433.134999915796
2021-06-11,12367.612477459963
2021-06-14,12215.49202846234
2021-06-15,11959.757343422578
2021-06-16,11945.1564655386
2021-06-17,11861.054788929649
2021-06-18,11906.975403479997
2021-06-21,11786.247637776461
2021-06-22,11645.245320028926
2021-06-23,11617.247184019885
2021-06-24,12077.234713862763
2021-06-25,12230.508477773994
2021-06-28,12169.404903677229
2021-06-29,11874.48906261523
2021-06-30,11867.554755692232
2021-07-01,11896.519987532307
2021-07-02,12229.619771109854
2021-07-05,12360.67475582966
2021-07-06,11956.527412166655
2021-07-07,12066.598811725484
2021-07-08,11921.169724811927
2021-07-09,12088.626304198335
2021-07-12,12218.80014598187
2021-07-13,12145.119341583428
2021-07-14,12089.342575221222
2021-07-15,11967.676032626692
2021-07-16,11956.819855986074
2021-07-19,11393.498734891244
2021-07-20,11410.846485892416
2021-07-21,11505.94882374639
2021-07-22,11547.706561547146
2021-07-23,11536.023522020814
2021-07-26,11446.49608208213
2021-07-27,11301.563570662593
2021-07-28,11331.19652132719
2021-07-29,11583.804071298417
2021-07-30,11302.26849733438
