Date,BELGIUM IMI GROWTH
2021-05-27,1729.4431867460394
2021-05-28,1751.4636912786443
2021-05-31,1739.4391173308925
2021-06-01,1757.402371987096
2021-06-02,1761.1020065054288
2021-06-03,1753.4551450659221
2021-06-04,1767.2485703470884
2021-06-07,1773.421400466352
2021-06-08,1773.4158491878804
2021-06-09,1801.1773706550043
2021-06-10,1809.1786953712488
2021-06-11,1822.4000740868619
2021-06-14,1833.766535889749
2021-06-15,1825.0239269075664
2021-06-16,1842.7313281760505
2021-06-17,1828.395325954
2021-06-18,1818.3077277595921
2021-06-21,1819.5098253040005
2021-06-22,1820.2024110558064
2021-06-23,1795.797698545658
2021-06-24,1811.5944550760755
2021-06-25,1826.490050181772
2021-06-28,1821.0864170124453
2021-06-29,1825.5263342050423
2021-06-30,1814.1390678842818
2021-07-01,1829.2998806538315
2021-07-02,1836.1921636082086
2021-07-05,1829.1520498260732
2021-07-06,1840.8766089104115
2021-07-07,1850.0000218037667
2021-07-08,1817.7310503329406
2021-07-09,1840.6009846880113
2021-07-12,1865.7495203831681
2021-07-13,1870.0656025415653
2021-07-14,1853.5924554396108
2021-07-15,1828.56223856281
2021-07-16,1844.0038585253067
2021-07-19,1821.0889052145444
2021-07-20,1833.0408008622783
2021-07-21,1867.4598503802956
2021-07-22,1888.3750108529043
2021-07-23,1883.8409245395285
2021-07-26,1878.7527662228017
2021-07-27,1848.8495902633113
2021-07-28,1865.7363784503661
2021-07-29,1864.560711217753
2021-07-30,1872.0720103879023
2021-08-02,1892.1142458271095
2021-08-03,1898.808847667124
2021-08-04,1919.8984105223424
2021-08-05,1940.9279988163917
2021-08-06,1937.899751464174
2021-08-09,1942.3537325209952
2021-08-10,1956.6860430768277
2021-08-11,1965.2462934481382
2021-08-12,1973.4520513743928
2021-08-13,1977.0388216722874
2021-08-16,1968.9831635471267
2021-08-17,1960.8395453977375
2021-08-18,1971.8311430023575
2021-08-19,1941.2824282784804
2021-08-20,1939.897530601779
2021-08-23,1959.6560436832574
2021-08-24,1964.3537462317572
2021-08-25,1958.9197543092207
2021-08-26,1957.624264710191
2021-08-27,1962.4055817782669
2021-08-30,1963.3281738966334
2021-08-31,1961.619307896707
2021-09-01,1962.469964410812
2021-09-02,1974.1611242000877
2021-09-03,1960.0460239511679
2021-09-06,1963.615005420121
2021-09-07,1950.9536710403736
2021-09-08,1920.5427064618993
2021-09-09,1919.835017623478
2021-09-10,1906.821881593955
2021-09-13,1898.578343633316
