Date,EM EASTERN EUROPE IMI VALUE
2006-08-14,978.8742999327854
2006-08-15,973.3149239708417
2006-08-16,981.4651977647079
2006-08-17,970.0375447889452
2006-08-18,943.3713528904052
2006-08-21,953.211769353295
2006-08-22,968.5299439962973
2006-08-23,970.1399006926296
2006-08-24,959.9255843826152
2006-08-25,959.8260431470992
2006-08-28,954.6044177035138
2006-08-29,948.7940328244654
2006-08-30,959.4639518456735
2006-08-31,940.8194102944359
2006-09-01,947.131554217413
2006-09-04,958.0171586104717
2006-09-05,965.8185746517669
2006-09-06,947.9212673942387
2006-09-07,923.3146597573499
2006-09-08,920.0533393885427
2006-09-11,891.1225550289876
2006-09-12,898.7657689721105
2006-09-13,907.5742976567013
2006-09-14,912.6038124655685
2006-09-15,898.9794513212307
2006-09-18,910.2727421651438
2006-09-19,913.5571552038962
2006-09-20,898.7192934251742
2006-09-21,884.0336528019599
2006-09-22,863.5638431576119
2006-09-25,839.6615816347063
2006-09-26,852.3760040434273
2006-09-27,868.7896492716033
2006-09-28,885.3477648488613
2006-09-29,881.2454326364405
2006-10-02,882.1139404556641
2006-10-03,862.82909674163
2006-10-04,859.7782098976687
2006-10-05,886.7829583735127
2006-10-06,877.6321177229021
2006-10-09,899.6570682294589
2006-10-10,897.9433046803011
2006-10-11,904.6024130685084
2006-10-12,903.7401875317045
2006-10-13,918.9594260322224
2006-10-16,919.9228541879662
2006-10-17,923.167865321906
2006-10-18,936.5560768342234
2006-10-19,944.995874518007
2006-10-20,935.576216850492
2006-10-23,923.5113085392692
2006-10-24,929.7144546785399
2006-10-25,941.0996091861764
2006-10-26,951.3593667652567
2006-10-27,947.0901574683324
2006-10-30,927.305470743888
2006-10-31,940.2530011070272
2006-11-01,958.8389182358056
2006-11-02,938.225372244849
2006-11-03,946.6279751242383
2006-11-06,954.1079748649215
2006-11-07,974.2594656170984
2006-11-08,970.0599020139094
2006-11-09,989.0090159327262
2006-11-10,993.6745010232447
2006-11-13,992.4014921802712
2006-11-14,993.9129420451
2006-11-15,991.1513806942419
2006-11-16,999.8839676968962
2006-11-17,979.6335502543168
2006-11-20,970.3779189596748
2006-11-21,987.8342877007088
2006-11-22,992.7364119862295
2006-11-23,997.0250471414492
2006-11-24,1004.4486779952886
2006-11-27,1005.4893256040747
2006-11-28,1002.9971888012702
2006-11-29,1025.8721930061959
2006-11-30,1034.1653158761067
2006-12-01,1039.0874601021899
2006-12-04,1045.6446043924184
2006-12-05,1064.7267829697403
2006-12-06,1064.5252777639307
2006-12-07,1063.2624204988751
2006-12-08,1060.3832451149606
2006-12-11,1047.9070224589025
2006-12-12,1047.609531296133
2006-12-13,1037.660831729169
2006-12-14,1045.1784342003252
2006-12-15,1051.6436906591528
2006-12-18,1048.3160529912577
2006-12-19,1025.4173486279708
2006-12-20,1038.0061773086388
2006-12-21,1035.1202331651778
2006-12-22,1028.9923940201627
2006-12-25,1025.995403406446
2006-12-26,1024.4919959524116
2006-12-27,1031.4757428073144
2006-12-28,1043.1940918644627
2006-12-29,1050.5972338164524
2007-01-01,1050.5972338164524
2007-01-02,1056.9886077041233
2007-01-03,1053.775104202661
2007-01-04,1044.3354236694652
2007-01-05,1037.1728411331533
2007-01-08,1037.9688426659777
2007-01-09,976.5927485139355
2007-01-10,965.3502062441021
2007-01-11,979.4042113883228
2007-01-12,974.6299028286991
2007-01-15,1001.9709424162246
2007-01-16,985.5586469472443
2007-01-17,967.4957106211945
2007-01-18,974.7948141623526
2007-01-19,980.5263864115286
2007-01-22,993.8590410827641
2007-01-23,996.454558983752
2007-01-24,998.0706280418154
2007-01-25,1006.6621862346036
2007-01-26,994.2201258564207
2007-01-29,986.6948007565136
2007-01-30,985.0907420118078
2007-01-31,995.1637686089563
2007-02-01,1015.6155393380202
2007-02-02,1015.761032893284
2007-02-05,1026.5373591540806
2007-02-06,1036.3080038705489
2007-02-07,1031.4988407652907
2007-02-08,1006.0162437408768
2007-02-09,1009.4585675602699
2007-02-12,978.1900466101163
2007-02-13,996.909390457174
2007-02-14,1013.5756686627963
2007-02-15,1008.5089335790478
2007-02-16,1013.0675743853221
2007-02-19,1019.4882413968583
2007-02-20,1006.5737083079312
2007-02-21,1011.9331853460114
2007-02-22,1025.4154392018604
2007-02-23,1030.1147642868225
2007-02-26,1047.5518208041972
2007-02-27,1011.5026451111177
2007-02-28,986.0355309179922
2007-03-01,954.7835975952803
2007-03-02,959.1202168642849
2007-03-05,927.8645363649628
2007-03-06,944.031138631598
2007-03-07,945.7712113784467
2007-03-08,954.7701007549903
2007-03-09,977.5591095732029
2007-03-12,972.0091490080118
2007-03-13,974.2749730143577
2007-03-14,957.7522175002441
2007-03-15,974.7669888962906
