Date,EM FAR EAST IMI GROWTH
2014-02-12,1132.8057846299375
2014-02-13,1121.9307207780037
2014-02-14,1128.3968225012923
2014-02-17,1138.4043050040395
2014-02-18,1132.596733368753
2014-02-19,1133.4301161730677
2014-02-20,1122.7693937157026
2014-02-21,1131.9939038863008
2014-02-24,1124.877290418897
2014-02-25,1125.9934968759158
2014-02-26,1141.9208548297186
2014-02-27,1149.8628240666335
2014-02-28,1142.9812070702312
2014-03-03,1136.6692458723123
2014-03-04,1138.4378204813258
2014-03-05,1146.5690852635842
2014-03-06,1150.5102412114963
2014-03-07,1150.7180085808652
2014-03-10,1134.1083915692452
2014-03-11,1140.5198696958118
2014-03-12,1119.2938378351316
2014-03-13,1120.7449585162676
2014-03-14,1109.3229223564203
2014-03-17,1108.3763370779004
2014-03-18,1117.6890572551479
2014-03-19,1114.5776283301375
2014-03-20,1107.0821080522092
2014-03-21,1113.5198627906325
2014-03-24,1121.9635414093832
2014-03-25,1114.4572965753318
2014-03-26,1125.8750533001175
2014-03-27,1128.8801629922395
2014-03-28,1137.8219041734596
2014-03-31,1143.7969959090306
2014-04-01,1157.0345118922166
2014-04-02,1167.1573603941758
2014-04-03,1171.126201931234
2014-04-04,1168.3464483546782
2014-04-07,1162.2403334486553
2014-04-08,1163.4889813593275
2014-04-09,1170.0040717988409
2014-04-10,1175.661370142579
2014-04-11,1162.2832354392403
2014-04-14,1164.9529857190641
2014-04-15,1160.0164569239314
2014-04-16,1163.5693618938421
2014-04-17,1163.0276399955217
2014-04-18,1167.9288386786811
2014-04-21,1169.564782215847
2014-04-22,1170.5962653642594
2014-04-23,1165.1780956819962
2014-04-24,1167.4735097540051
2014-04-25,1151.2661271382212
2014-04-28,1145.3233892388582
2014-04-29,1152.0662012980395
2014-04-30,1137.1197697580678
2014-05-01,1137.1106129484986
2014-05-02,1145.2206468530194
2014-05-05,1142.3558846593312
2014-05-06,1138.3761717109226
2014-05-07,1133.2868982051302
2014-05-08,1138.3377870332847
2014-05-09,1143.9048165667039
2014-05-12,1154.2008493894061
2014-05-13,1166.4048403042436
2014-05-14,1178.5536234449125
2014-05-15,1181.4679810405703
2014-05-16,1182.3382898822806
2014-05-19,1181.9976953423147
2014-05-20,1181.5028908303618
2014-05-21,1184.2418519788714
2014-05-22,1195.7448322527457
2014-05-23,1198.4879772363745
2014-05-26,1196.7698474347421
2014-05-27,1198.9213259903615
2014-05-28,1210.6566709770773
2014-05-29,1205.2485988501257
2014-05-30,1197.4819216044666
2014-06-02,1201.1309731243437
2014-06-03,1212.3730530565444
2014-06-04,1206.1434978074499
2014-06-05,1207.9611259883095
2014-06-06,1205.101642632232
2014-06-09,1210.7056379134349
2014-06-10,1229.2105330421698
2014-06-11,1231.037967872034
2014-06-12,1226.1693889959902
2014-06-13,1223.3994319166525
2014-06-16,1220.3121190484858
2014-06-17,1223.0791257020448
2014-06-18,1216.5961199936435
2014-06-19,1212.908225608485
2014-06-20,1212.0991328585067
2014-06-23,1206.2214765145313
2014-06-24,1212.674880580981
2014-06-25,1204.5302262104285
2014-06-26,1221.9232408396497
2014-06-27,1215.8820670137518
2014-06-30,1221.4943292601192
2014-07-01,1223.7322430231482
2014-07-02,1242.2147566292929
2014-07-03,1251.5646681600847
2014-07-04,1254.0195330671932
2014-07-07,1256.1306585357365
