Date,MSCI World IMI with USA Gross Index
2008-07-08,1037.4872756490897
2008-07-09,1030.6206197890506
2008-07-10,1025.4768545546135
2008-07-11,1008.2600932652367
2008-07-14,1005.6510485839354
2008-07-15,988.5829376372361
2008-07-16,1008.8141792436172
2008-07-17,1021.6678307138286
2008-07-18,1025.2055660689937
2008-07-21,1030.1059702237726
2008-07-22,1038.6115983907016
2008-07-23,1053.7253749408308
2008-07-24,1038.892010457533
2008-07-25,1036.5354691225912
2008-07-28,1020.9389105104245
2008-07-29,1036.479761685397
2008-07-30,1055.250508013082
2008-07-31,1046.4486026088603
2008-08-01,1038.7167879929593
2008-08-04,1024.8207691830269
2008-08-05,1049.4497026738993
2008-08-06,1061.415570859686
2008-08-07,1051.1033838129704
2008-08-08,1080.2790369860227
2008-08-11,1092.6361169432025
2008-08-12,1089.0015186649198
2008-08-13,1080.6944504170738
2008-08-14,1083.3322426292088
2008-08-15,1095.5657345868565
2008-08-18,1088.262277217586
2008-08-19,1071.2773252224063
2008-08-20,1076.0271855219382
2008-08-21,1068.8085855039953
2008-08-22,1081.7535783057303
2008-08-25,1073.5789705204631
2008-08-26,1081.1149036706581
2008-08-27,1084.246607558484
2008-08-28,1097.0741245788079
2008-08-29,1095.5287120416597
2008-09-01,1098.1512545755656
